Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0,8.070142604,1.750417022,445660.8152,246107.6357,0.152450354,4.561218e17,1.170932813,0.545454545,1,1,96.66726455553183,8.636484278220305,3.6725388506842984,81827.63496712898,-39,0.2,0.8
1,3.768027266,0.852264308,916743.4929,122003.9471,0.241128422,4.180582e18,1.15237533,0.272727273,1,2,204.0003075581482,5.492028192786096,3.6556996142493277,68468.63613399661,9,0.2,0.8
2,6.963600724,1.108667837,849671.1848,30519.25922,0.164363441,2.396476e18,1.196836308,0.818181818,1,1,144.21022963132427,7.378674651379236,2.950088333306547,68420.13741594531,-13,0.2,0.8
3,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.57853e18,1.152832013,0.727272727,1,1,161.19316990060074,6.189306795418676,4.156799805545581,78893.36446200358,10,0.2,0.8
4,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,4.567323e18,1.102447891,0.363636364,1,2,89.08570201329194,5.068068096955354,3.859944340149236,77221.5181145349,-7,0.2,0.8
5,4.732412752,2.306532964,488423.4508,48086.69027,0.1115764,4.88123e18,1.161236658,0.818181818,1,2,109.20028850564502,13.90763352335053,3.2357441484188403,82388.14889307666,-30,0.2,0.8
6,6.682866209,2.085988809,571741.7916,104238.7635,0.308563829,1.864312e18,1.15040052,0.181818182,1,1,118.02859965112539,23.743037570199082,3.343139510045196,93896.20597359762,-11,0.2,0.8
7,0.233543406,0.787219736,891238.3391,263872.8247,0.219109452,2.621659e18,1.175959154,0.090909091,1,2,255.7757944257493,6.6389329930019585,4.031694953060922,94434.99588099534,12,0.2,0.8
8,3.016910783,1.21947951,681613.284,84484.46251,0.136983274,3.75364e18,1.072842201,0.272727273,1,1,117.52879448987997,8.254562457435627,3.4936612333570167,79104.91835967147,-30,0.2,0.8
9,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,7.424349e17,1.169549707,0.090909091,1,1,91.37876078424574,5.923827966802229,4.068861284473665,90982.89327029862,-3,0.2,0.8
10,7.570067651,0.940333215,747942.7254,97154.99414,0.298698765,3.318256e18,1.093462246,0.181818182,1,2,103.63120759456096,5.22375512026333,3.5169814687215344,74782.17874870577,0,0.2,0.8
11,4.341646542,1.662345906,614262.3482,203434.5751,0.207376769,2.593722e18,1.119538505,0.0,1,1,97.32520923603178,12.787909146544495,3.459575256272762,82958.51064113197,-36,0.2,0.8
12,7.386461371,2.458586686,344322.9375,286505.9793,0.250615024,4.376802e18,1.185785377,0.909090909,1,2,121.03683021755454,8.344610478407354,2.79353673567725,80517.13065907989,-17,0.2,0.8
13,0.78028792,1.156660695,1.018478755e6,140651.3887,0.101746698,3.341508e17,1.123453753,0.272727273,1,1,118.65275833350887,9.879921484694593,3.0231103534178856,70380.49351877389,-11,0.2,0.8
14,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.31615e18,1.155343821,0.272727273,1,2,221.1256741209984,6.99142340900375,4.540509953857496,77733.92484796612,-2,0.2,0.8
15,5.353106672,1.372983367,526471.5154,251197.9117,0.230825975,3.104943e18,1.083836488,0.272727273,1,2,105.16478161614583,6.168363809756366,3.5522285948633794,81438.15495027832,-20,0.2,0.8
16,4.627243008,1.496451425,792191.7578,268807.2306,0.317827114,1.743074e18,1.195108103,0.545454545,1,1,83.12293682574199,16.595463863146254,3.253863208159358,89500.28728611674,-31,0.2,0.8
17,6.417175788,0.736070022,1.072642948e6,221067.4031,0.154813188,4.758966e18,1.102084033,0.181818182,1,2,265.9871340832256,6.301019651385484,3.999785672887813,121126.22552743634,13,0.2,0.8
18,0.41652814,2.137136572,390548.7908,79522.16752,0.24535876,1.001694e18,1.159170086,0.454545455,1,1,97.08726897153196,5.773954443063297,3.8816793962309415,87712.35563173,-42,0.2,0.8
19,9.23930577,1.307543416,450208.5302,126236.9991,0.191910071,4.091039e18,1.109828719,0.272727273,1,1,97.75784570212151,5.998968376804235,3.8645603194756175,90552.75686358438,3,0.2,0.8
20,2.449372543,1.051005982,583394.1195,43160.95199,0.265144296,2.279834e18,1.135841462,0.363636364,1,2,130.10390300062468,5.816951694351983,3.8406471075301654,82243.91940165285,14,0.2,0.8
21,7.886477001,1.188782192,596044.7455,211937.2769,0.339821399,1.235433e18,1.110978385,0.454545455,1,1,80.0713297315242,5.324356316928831,3.4760819119505237,88949.4768631902,-23,0.2,0.8
22,1.087390904,0.89869488,462564.6615,295539.5171,0.143014446,3.018366e18,1.100655012,0.454545455,1,2,221.9120817741054,6.309257139669079,4.153203221280259,84469.03714992775,-20,0.2,0.8
23,9.920830529,2.271748728,377900.3605,179824.1669,0.299588593,2.357749e18,1.135981781,0.636363636,1,2,106.13654996003709,10.942034609521407,2.751564582931645,86996.67708958992,-23,0.2,0.8
24,5.044858684,0.550009916,779931.6622,100230.7196,0.257210905,4.175052e17,1.177377326,0.545454545,1,1,184.06000163313158,6.164560196487509,4.204230955464984,77426.4278114804,0,0.2,0.8
25,4.935757723,0.69865034,538828.4126,149443.6491,0.284117733,3.860614e18,1.076321852,0.363636364,1,2,198.58478968947477,6.54481295649397,4.3862959707466995,86439.72379756403,-2,0.2,0.8
26,6.734691106,1.52435414,421318.1773,70101.39383,0.120898274,2.04355e18,1.125089797,0.272727273,1,1,98.70843842898873,5.237382655526887,3.505929629710718,86681.73028444809,-19,0.2,0.8
27,8.932087456,1.024141434,1.006220945e6,241018.099,0.173317878,1.980237e18,1.145543468,0.454545455,1,2,178.46989504650145,8.015934090267935,3.1796704632620107,70035.79856921983,-5,0.2,0.8
28,2.901465974,1.781089588,331966.7041,118390.902,0.324354288,2.732932e18,1.167012694,0.0,1,1,84.78869940309418,4.216261890029727,3.375006431110946,86200.88024355049,-21,0.2,0.8
29,2.133154818,1.341782468,735195.1085,198050.2632,0.246346564,4.992613e18,1.105535361,0.0,1,1,90.77316764503182,9.297548504839975,3.072562979859266,79333.7037613002,-16,0.2,0.8
30,4.076198598,1.135526209,364735.979,236813.9022,0.275035316,1.498124e18,1.186329001,0.363636364,1,2,101.91607143362984,5.249888895160645,4.004455002324141,75639.82748049826,-22,0.2,0.8
31,7.281993353,0.818014945,693867.2842,185379.7153,0.198066627,4.481058e18,1.107566518,0.272727273,1,1,121.9597477466378,4.895984688844389,3.8506559730849146,72692.31246809415,7,0.2,0.8
32,3.604155229,2.221656811,559000.3647,273211.716,0.236521725,2.204238e17,1.06563358,0.363636364,1,2,107.0682109412352,16.21286408825167,3.356126019601779,85523.44926256848,-37,0.2,0.8
33,5.564987028,1.899794953,476171.831,217588.089,0.163462483,3.209363e18,1.188569905,0.090909091,1,1,112.72888865940769,9.813488119125077,3.0950274860113027,79383.38354710236,-27,0.2,0.8
34,1.273333349,0.63596134,961240.761,74301.72422,0.312616511,2.480105e18,1.187025169,0.363636364,1,2,268.20612281801937,6.1758385084892025,4.111883216040781,97758.37431590086,7,0.2,0.8
35,8.746327104,0.748751527,319922.136,57256.79543,0.221051483,3.522941e18,1.170625626,1.0,1,2,289.2339373760839,7.04999293827479,4.396688986754062,100808.35764244989,-15,0.2,0.8
36,0.54037929,1.610316778,640218.6023,112868.5698,0.177995299,5.058764e17,1.114252932,0.636363636,1,1,107.06918598075596,11.651098309635861,3.3543475331500012,84718.34051969786,-40,0.2,0.8
37,9.217850333,1.834354842,500663.843,92594.24753,0.259568531,4.795239e18,1.138102027,0.727272727,1,2,108.0915345978009,12.960587537567134,3.320525994612852,89219.60437045922,-3,0.2,0.8
38,2.698404007,0.97087398,837320.3754,199295.5683,0.11060499,1.042618e18,1.12246801,0.0,1,1,142.07932408896673,5.456832737444858,3.2502722343962476,65882.03325402159,5,0.2,0.8
39,5.904351075,1.261095215,904101.2406,291306.4814,0.303793353,2.854995e18,1.160144115,0.363636364,1,2,104.45038843157165,12.712329294628207,2.9416543647724973,78899.50941538718,-10,0.2,0.8
40,2.257171555,2.691569515,432920.1482,144023.8076,0.212595868,1.784181e18,1.126417023,0.454545455,1,1,105.14418990568917,11.419436795493825,3.325144609319034,88212.33092517976,-35,0.2,0.8
41,8.007088313,0.600414681,946344.945,156293.7567,0.206577629,2.028524e18,1.19178172,0.090909091,1,1,187.2471535004813,6.2993286735740375,4.112733626179359,104510.45555530586,7,0.2,0.8
42,3.83134434,2.002839311,415865.8618,279316.557,0.295782926,3.657155e18,1.081198624,0.0,1,2,99.79543289665727,5.65712625203004,2.9038129869914764,82860.25480197242,-26,0.2,0.8
43,6.881043196,2.25466566,548987.3642,227383.6401,0.102795092,6.693827e17,1.19908468,0.545454545,1,1,118.14255735161915,20.30850450357733,3.9939866605973067,83360.43326749754,-29,0.2,0.8
44,1.202661323,1.361028843,813795.6472,64785.94282,0.253282071,3.817321e18,1.175563174,0.090909091,1,2,123.43287137139448,15.415971884186675,3.764046337497337,82012.32680899455,8,0.2,0.8
45,9.722703991,1.678634673,726598.7046,119846.5399,0.184862219,9.060601e17,1.164544246,0.090909091,1,1,124.76462218906988,31.988001473750323,4.086580993015702,89502.28753638355,4,0.2,0.8
46,3.360737755,0.91565448,610227.944,248243.1755,0.336242866,4.930625e18,1.141738242,0.090909091,1,2,125.5835372393514,4.978874344310506,3.592160510514255,71857.84256399192,9,0.2,0.8
47,5.16516549,1.171831407,331194.295,192063.2046,0.139202769,1.946515e18,1.165667625,0.909090909,1,1,150.98186044594416,6.03554303697368,3.733730184910882,83048.62626084358,-32,0.2,0.8
48,8.346435204,2.594225484,474274.7137,82352.7925,0.320776143,1.632261e18,1.129743935,0.727272727,1,2,115.13106995482812,21.662421048842706,3.0641627979778994,89220.55222498301,-27,0.2,0.8
49,6.619859582,1.07497457,871057.7564,297081.1646,0.242658985,1.192501e18,1.112557561,0.636363636,1,1,105.82527230432733,7.402868679576569,3.153303271065231,83325.99533615196,-10,0.2,0.8
50,0.296889108,1.79775195,592116.0648,138529.1504,0.153732065,4.644495e18,1.196655639,0.090909091,1,2,129.1003872282317,10.941694410697115,3.433942323606802,87134.31582863053,-20,0.2,0.8
51,8.816951427,1.507568053,654918.7213,50227.29303,0.280312621,3.557319e17,1.166439347,0.0,1,1,114.16429065875755,18.03683602920277,3.78685688485118,88878.8408701825,3,0.2,0.8
52,2.012370969,0.715445113,384915.2237,102147.3433,0.117327852,3.371629e18,1.198770698,0.454545455,1,2,265.46416181273844,6.74708897868168,4.364762449826134,83751.12026388795,-17,0.2,0.8
53,4.268545944,0.652628333,715139.9786,62865.13751,0.149532684,5.661978e17,1.168356401,0.090909091,1,1,205.08119695149452,6.268864412772522,4.123539238744539,87497.92821811484,15,0.2,0.8
54,0.687644747,2.170811251,317600.8614,253271.823,0.167032319,2.206983e18,1.065191852,0.545454545,1,2,93.10134133137599,4.252971906234505,3.640920905885369,71849.93183378069,-15,0.2,0.8
55,9.676204277,0.868720301,429016.5015,205583.7539,0.27861379,2.868244e18,1.191368239,0.0,1,2,195.29560675747527,6.222077432560715,4.056773554809316,72181.01588881582,2,0.2,0.8
56,1.4659852,1.084812939,512398.9291,284439.4537,0.201878245,1.084135e18,1.137170542,0.363636364,1,1,122.89667031256629,5.72041411634305,3.7930284553024416,88879.83367404563,-27,0.2,0.8
57,8.553540825,1.244008539,768938.1966,235572.6258,0.11452726,4.541018e18,1.116679216,0.181818182,1,1,115.34666645067722,8.348906814026893,3.4881175720278716,81228.41779037856,-18,0.2,0.8
58,6.489968286,1.884763208,373326.9827,45231.86229,0.216407845,3.181877e18,1.17077247,0.454545455,1,2,98.39235148814363,7.238505009534019,3.358000734956332,86687.11145928963,-37,0.2,0.8
59,0.343475244,0.9879696,1.089671064e6,187859.0141,0.307480876,1.529808e18,1.137163852,0.363636364,1,1,103.2155373282099,11.633517402023756,3.3079852033810835,82715.37832983655,-10,0.2,0.8
