Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Ur,rmse_Np,rmse_B,rmse_T,shift,Tmin,Tmax
0,9.786002587,0.663890855,627477.0748,281445.0651,0.127047291,1.57853e18,1.152832013,0.727272727,1,1,107.82354390473272,6.4653938455362425,4.782926513126998,38226.975535878024,-17,0.2,0.8
1,1.590428385,1.42413834,307670.4156,225304.8284,0.294030511,4.567323e18,1.102447891,0.363636364,1,2,43.80370798027896,4.926231073857264,3.987906004775491,41794.10209619961,16,0.2,0.8
2,6.212331965,1.003022277,351995.2234,136447.176,0.330024691,7.424349e17,1.169549707,0.090909091,1,1,64.7358748996545,4.885598299381964,4.20767290089306,47034.9920479386,-6,0.2,0.8
3,3.563326197,0.581093181,408669.8372,172381.7852,0.184033553,1.31615e18,1.155343821,0.272727273,1,2,113.78317417545016,6.72320523700545,5.13505860141021,39402.866266250145,-10,0.2,0.8
4,9.23930577,1.307543416,450208.5302,126236.9991,0.191910071,4.091039e18,1.109828719,0.272727273,1,1,46.56793999627555,13.02080514035898,3.863571469991008,41552.61844018464,3,0.2,0.8
5,1.087390904,0.89869488,462564.6615,295539.5171,0.143014446,3.018366e18,1.100655012,0.454545455,1,2,88.62704862972747,5.55030135962382,4.689175073569221,40283.74890618339,-10,0.2,0.8
6,5.044858684,0.550009916,779931.6622,100230.7196,0.257210905,4.175052e17,1.177377326,0.545454545,1,1,81.38763229766785,9.97728009899085,4.471032144673804,47560.123431913,-48,0.2,0.8
7,4.935757723,0.69865034,538828.4126,149443.6491,0.284117733,3.860614e18,1.076321852,0.363636364,1,2,69.33777391297943,5.000495977954562,4.741972164805463,45270.06263746693,-4,0.2,0.8
8,2.901465974,1.781089588,331966.7041,118390.902,0.324354288,2.732932e18,1.167012694,0.0,1,1,50.038856289591784,11.080869410372676,3.471379863943155,44185.84831714164,4,0.2,0.8
9,4.076198598,1.135526209,364735.979,236813.9022,0.275035316,1.498124e18,1.186329001,0.363636364,1,2,42.34896243753359,5.498653835324994,4.125793780949265,41330.81610098318,12,0.2,0.8
10,7.281993353,0.818014945,693867.2842,185379.7153,0.198066627,4.481058e18,1.107566518,0.272727273,1,1,73.77250836195277,11.438632218028733,4.1727196123089945,41400.37094349144,5,0.2,0.8
11,8.746327104,0.748751527,319922.136,57256.79543,0.221051483,3.522941e18,1.170625626,1.0,1,2,73.6405269023574,6.135621408428287,4.993651715468272,47612.46134811149,-8,0.2,0.8
12,8.007088313,0.600414681,946344.945,156293.7567,0.206577629,2.028524e18,1.19178172,0.090909091,1,1,335.9241604446438,8.59147090896829,5.956790157020548,59438.3096443983,-48,0.2,0.8
13,3.360737755,0.91565448,610227.944,248243.1755,0.336242866,4.930625e18,1.141738242,0.090909091,1,2,81.50694223097176,9.686339360754888,4.409929826952158,41888.744973887915,1,0.2,0.8
14,5.16516549,1.171831407,331194.295,192063.2046,0.139202769,1.946515e18,1.165667625,0.909090909,1,1,55.72901776835858,5.219595313905182,4.353879260919862,39473.49563470677,6,0.2,0.8
15,2.012370969,0.715445113,384915.2237,102147.3433,0.117327852,3.371629e18,1.198770698,0.454545455,1,2,82.76160111279637,5.857385886652551,5.008147914708109,39543.031900195456,-21,0.2,0.8
16,4.268545944,0.652628333,715139.9786,62865.13751,0.149532684,5.661978e17,1.168356401,0.090909091,1,1,100.15343519192311,12.365992384503963,4.249015475778291,42382.20391094061,-27,0.2,0.8
17,9.676204277,0.868720301,429016.5015,205583.7539,0.27861379,2.868244e18,1.191368239,0.0,1,2,53.505839136052394,5.002877249939433,4.569873639940205,42338.53330232826,5,0.2,0.8
18,1.4659852,1.084812939,512398.9291,284439.4537,0.201878245,1.084135e18,1.137170542,0.363636364,1,1,58.58989314118943,11.746612928070054,4.0194329416426005,38480.39618975626,11,0.2,0.8
19,5.711870494,0.799292313,553522.8245,77460.8659,0.181565662,4.309028e18,1.174392643,0.0,1,2,71.39392695000763,7.130324979096086,4.241378914501085,44209.268588304,-4,0.2,0.8
20,7.162355513,0.613045782,498565.6505,261240.9047,0.290101761,8.674797e17,1.105099006,0.181818182,1,1,87.22775604584771,5.901281147085712,5.052608944701835,43549.961026736506,-16,0.2,0.8
21,8.236026093,0.952605767,524656.7419,116242.9859,0.13306086,2.430284e18,1.162277427,0.0,1,2,61.43951376518683,10.931653803334372,3.939188585526486,41840.75759755522,-3,0.2,0.8
22,0.034959924,1.269888364,441764.1213,36859.06522,0.326337196,4.242666e18,1.141713308,0.090909091,1,1,79.69468091944043,13.946992267624381,3.6925019937538726,47668.57848226442,-21,0.2,0.8
23,7.688696289,1.390074899,397559.7588,271071.83,0.187729328,4.717797e18,1.117041775,0.0,1,2,74.15232521949244,6.935083919985028,3.8186815134364425,41524.888916382864,4,0.2,0.8
