Column1,BrMin,BrFactor_ADAPT,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StocasticExponent,nChromoSiAWSoM,rMinWaveReflection,realization,pfss,UseSurfaceWaveRefl,rmse_Np,shift,Tmin,Tmax
100,3.711133595,0.782345301,690212.7989,35286.86745,0.100092848,2.377869e18,1.143045309,0.454545455,1,1,14.252502015055619,-5,0.2,0.8
101,5.515715543,1.576740127,369928.5395,116776.7151,0.297078932,4.199474e18,1.100165333,0.272727273,1,2,13.104295437538195,-16,0.2,0.8
102,6.269273618,0.669554987,828599.9844,87832.74204,0.193560459,3.734747e18,1.167488571,0.454545455,1,1,13.369051801752002,-3,0.2,0.8
103,2.287273749,0.851872262,314741.7717,181372.4358,0.319012443,8.243647e17,1.134075619,0.727272727,1,2,5.911381360376311,-37,0.2,0.8
104,5.235552464,0.661471678,375724.4386,36037.94691,0.171866971,2.078956e18,1.068051437,0.454545455,1,1,6.7897923680033845,-20,0.2,0.8
105,8.88841575,0.997043593,601010.4321,181070.8811,0.25485545,1.125599e18,1.131177533,0.090909091,1,2,8.59147090896829,-48,0.2,0.8
106,1.942384832,1.217523897,334136.4883,258312.6489,0.211574086,2.903849e18,1.178157817,0.545454545,1,1,5.815793982470862,-3,0.2,0.8
107,1.551915281,0.574465698,556928.2159,145152.2002,0.109210388,6.163547e17,1.159834718,0.727272727,1,2,6.208482799039494,5,0.2,0.8
108,8.467659317,0.742222191,724406.3186,130165.1801,0.199398465,4.373532e18,1.106691785,0.090909091,1,1,11.056936429845383,0,0.2,0.8
109,2.586370499,1.049256235,432398.3133,274338.0447,0.310317361,1.463218e18,1.174508021,0.818181818,1,2,7.315489644713279,-20,0.2,0.8
110,4.036321442,0.896761909,515490.3708,46961.51237,0.217714849,3.722921e18,1.167955913,0.181818182,1,1,9.725477680487563,0,0.2,0.8
111,7.086017313,1.182830305,444656.7951,105217.686,0.264761806,6.976491e17,1.148926018,0.727272727,1,2,15.32345489126114,9,0.2,0.8
112,9.908409705,0.555978865,1.029366536e6,208536.7191,0.332268387,9.155857e17,1.129631175,0.545454545,1,1,12.094611642066804,-24,0.2,0.8
113,0.111203059,0.692103047,489421.3809,193022.3231,0.238829272,4.67247e18,1.169485208,0.727272727,1,2,6.102877486971471,-4,0.2,0.8
114,7.770000147,0.811856932,346779.5944,157102.2658,0.153362281,3.985248e18,1.086941469,0.818181818,1,1,6.366279854156285,-11,0.2,0.8
115,3.597844995,0.637721727,810661.4728,234413.7111,0.2675624,1.777967e18,1.133891809,0.818181818,1,2,9.063228625060242,-17,0.2,0.8
116,6.382723732,0.746416949,670528.5033,285260.1702,0.29634331,3.135162e18,1.10658759,0.363636364,1,1,8.687536423082506,-17,0.2,0.8
117,6.893537999,0.606527247,894203.5383,194990.2348,0.131754206,1.629027e18,1.175340981,0.818181818,1,2,10.757768950816665,-11,0.2,0.8
118,1.661807776,0.913848646,361577.3726,69274.40249,0.260838965,4.137447e18,1.153366539,0.181818182,1,1,5.286289745242459,-27,0.2,0.8
119,3.086926118,0.708761414,637084.4726,215335.2461,0.161913101,2.685896e18,1.104998555,0.909090909,1,2,7.7161037253721485,1,0.2,0.8
120,6.140895647,1.505294697,304336.8105,292601.1697,0.235133926,9.123377e17,1.149759568,0.818181818,1,1,6.556104257794818,-7,0.2,0.8
121,3.47736811,1.082949559,459448.8602,58405.00963,0.157049289,2.484063e17,1.130327113,0.818181818,1,2,3173.359369388566,-21,0.2,0.8
122,5.438196925,0.862697922,580380.0922,111915.7936,0.324021176,3.274846e18,1.153477258,0.181818182,1,1,10.523383328868563,-4,0.2,0.8
123,9.325473381,0.796829311,405677.9113,240073.7268,0.106976588,4.823516e18,1.156569348,0.272727273,1,2,5.910685098328725,-39,0.2,0.8
124,7.962805077,0.610770349,548386.1478,81224.5247,0.24504785,4.656383e17,1.179354415,0.181818182,1,1,5.4688462671054605,-7,0.2,0.8
125,9.990995768,1.702042606,328682.6916,49113.44868,0.266510572,1.588066e18,1.182088181,0.272727273,1,2,19.336141802401684,10,0.2,0.8
126,6.809941824,0.946507028,472098.8171,226257.4281,0.207996042,1.911037e18,1.104526483,0.727272727,1,1,7.0030131578641335,-8,0.2,0.8
127,4.155900879,0.557501878,317079.0071,122839.1743,0.30981252,2.527965e18,1.135015799,0.272727273,1,2,7.642887430555125,-48,0.2,0.8
128,8.666109527,1.318165323,373830.5161,171091.4841,0.314129468,2.753146e18,1.14774353,0.090909091,1,1,10.085681157642199,-9,0.2,0.8
129,3.8133456,0.679969134,850248.3521,293194.0498,0.114564326,3.030235e17,1.116796455,0.181818182,1,2,12.564549892948213,-20,0.2,0.8
130,9.821249915,1.039736517,392249.4968,98420.90057,0.225485058,3.063413e18,1.159096772,0.272727273,1,1,7.53387518401346,-17,0.2,0.8
131,3.000889176,1.392829373,347878.7756,195715.4575,0.278544681,2.238307e18,1.140509154,0.090909091,1,2,7.813148867939905,-16,0.2,0.8
132,6.206075815,0.569164666,618512.485,243420.8817,0.201588469,4.05991e18,1.110067596,0.090909091,1,1,6.373840248526523,-26,0.2,0.8
133,3.547609821,0.95588842,573556.6868,72486.1036,0.280595965,4.600794e18,1.123663561,0.545454545,1,2,15.560815705003614,-4,0.2,0.8
134,6.471954943,0.832427568,707630.2122,59130.48919,0.253251387,8.392389e17,1.089502815,0.0,1,1,13.333078505059179,21,0.2,0.8
135,2.475160242,0.61609769,449613.8273,201704.909,0.138580681,3.79751e18,1.130555264,0.545454545,1,2,6.488252609531508,-48,0.2,0.8
136,1.025287958,0.802337236,504036.9093,120121.8609,0.269576498,1.538483e18,1.169701726,0.090909091,1,1,8.59147090896829,-48,0.2,0.8
137,4.988400741,0.871996034,478554.295,266215.6368,0.187554022,5.381768e17,1.197986795,0.363636364,1,2,7.264133873651218,-16,0.2,0.8
138,8.955128777,0.649346227,764677.7393,138254.4681,0.301755974,2.89535e18,1.138738427,0.909090909,1,1,9.590928446421449,-7,0.2,0.8
139,7.324565346,0.720606621,335234.239,95279.73959,0.326504297,1.20079e18,1.167994216,0.181818182,1,2,6.500683678195593,-28,0.2,0.8
140,0.477971411,1.175404512,379898.6949,266406.0894,0.289556581,3.82597e18,1.146743007,1.0,1,1,6.151771101545818,-9,0.2,0.8
141,2.694894234,0.59502835,996077.7843,44979.19556,0.237166615,4.957969e18,1.138675879,0.818181818,1,2,8.59147090896829,-48,0.2,0.8
142,3.432912023,0.751504293,368873.9607,131624.85,0.192806816,1.053007e18,1.087165611,0.727272727,1,1,6.1579975444019865,-25,0.2,0.8
143,6.586748131,0.632386949,912340.7848,118116.8644,0.101095289,4.509889e18,1.137949825,0.0,1,2,14.183838149354434,-5,0.2,0.8
144,8.76461338,1.140913828,315198.1944,229970.5671,0.183749268,4.277899e18,1.107779063,0.0,1,1,5.179970316793504,-29,0.2,0.8
145,1.969799274,0.82159159,644967.3409,277718.6545,0.230766019,2.451604e18,1.088947569,0.545454545,1,2,9.644254195582104,-7,0.2,0.8
146,9.623560961,0.703511452,587584.688,39282.07492,0.137049661,1.990389e18,1.143016926,0.454545455,1,1,5.548327164078495,-4,0.2,0.8
147,0.357055147,0.544323059,731227.2385,92340.93807,0.164044393,3.047581e18,1.190978641,1.0,1,2,6.915602812466485,-22,0.2,0.8
148,5.773973737,0.904379869,413860.2646,167407.0551,0.29312733,3.892041e17,1.147459264,1.0,1,1,6.426547702798014,-27,0.2,0.8
149,3.925889498,1.310821371,401504.1318,66593.30735,0.221790754,1.77053e18,1.178111315,0.818181818,1,2,14.110670090917974,6,0.2,0.8
150,7.136568113,1.056692291,533661.2549,154418.4134,0.178537764,4.750096e18,1.083267562,0.272727273,1,1,13.90960427395309,-5,0.2,0.8
151,8.251742171,0.585955548,458350.8234,299418.3599,0.274622854,3.345347e18,1.119553861,0.363636364,1,2,6.879352057814881,-48,0.2,0.8
152,0.900745853,1.006598181,302457.4284,60983.23619,0.121318942,2.612403e18,1.197054111,0.272727273,1,1,5.285046667526079,-22,0.2,0.8
153,4.473195474,0.666642817,676962.9885,190202.0111,0.339270724,4.208022e18,1.159561364,0.090909091,1,2,7.179935287982172,-21,0.2,0.8
154,6.277014795,1.429298143,356622.2478,233161.6513,0.142268732,2.387586e18,1.096717048,0.818181818,1,1,7.973517117743004,-9,0.2,0.8
155,6.974470511,0.855184721,365204.215,289498.7283,0.109834855,3.744628e18,1.133896411,1.0,1,2,5.924384649667852,-25,0.2,0.8
156,1.580856154,0.666243751,879062.4605,113685.236,0.220165986,8.142294e17,1.192667637,0.272727273,1,1,16.747715756968034,6,0.2,0.8
157,8.399550761,0.785361225,639698.4741,161367.5683,0.313721502,4.557066e18,1.12401625,0.454545455,1,2,9.31604390853276,-4,0.2,0.8
158,0.203519079,1.581632878,318880.1333,76191.62112,0.146723977,1.569443e18,1.144679272,0.636363636,1,1,9.848745616784386,1,0.2,0.8
159,7.539743504,1.158486376,463865.6817,242887.6483,0.247334256,2.269556e18,1.133438209,0.727272727,1,2,10.974328365196712,-7,0.2,0.8
160,0.750573529,0.937973113,596305.0924,197287.1534,0.174087786,4.081935e18,1.167321544,0.727272727,1,1,11.792195307026343,0,0.2,0.8
161,4.637811782,0.737368239,421005.962,51199.52876,0.256105687,3.094741e18,1.146204494,0.363636364,1,2,5.4789346968175,-15,0.2,0.8
162,4.053619183,1.625704423,344583.2845,233722.3068,0.115403462,9.302996e17,1.181364134,0.545454545,1,1,10.708010311712947,-10,0.2,0.8
163,3.275181681,0.552361919,525221.6121,270100.0047,0.15556855,2.053789e18,1.135362314,0.363636364,1,2,6.828363065243063,-48,0.2,0.8
164,5.074878279,1.409607469,408356.8474,220782.1974,0.31882978,3.869683e18,1.17028107,0.454545455,1,1,10.048889355806006,-9,0.2,0.8
165,6.744268069,0.696792721,793493.1356,249839.4828,0.183029399,3.396608e18,1.179370081,0.818181818,1,2,10.113299114186843,-14,0.2,0.8
166,2.122280225,1.022834861,451510.3018,140887.4096,0.297579253,1.244573e18,1.113178914,0.727272727,1,1,9.495242703465742,-12,0.2,0.8
167,9.468563613,0.633049043,306627.6623,176805.5389,0.218354319,5.161702e17,1.132946959,0.0,1,2,7.331189883722991,-48,0.2,0.8
168,2.728732959,1.258710382,352464.2346,121697.8889,0.165236102,4.491281e18,1.132342378,0.727272727,1,1,7.767431535477728,-14,0.2,0.8
169,1.172870647,0.602807751,397884.5622,256289.8716,0.322517688,3.642636e17,1.188430484,0.727272727,1,2,6.926169106575286,-27,0.2,0.8
170,6.629742316,1.29386208,342255.9064,41925.45477,0.301509303,4.939076e18,1.148812706,0.909090909,1,1,9.456115654618378,16,0.2,0.8
171,7.48955776,0.649740888,566777.2118,230496.0596,0.257622171,2.501571e18,1.106689408,0.0,1,2,5.993306490886626,-12,0.2,0.8
172,8.524051143,0.989795161,441308.4734,85489.89862,0.161541655,1.09382e18,1.140184827,0.454545455,1,1,8.830275783450158,-2,0.2,0.8
173,2.529997784,0.800630686,702034.8078,179565.1106,0.291206869,3.544688e18,1.125652893,0.181818182,1,2,12.09093765507155,4,0.2,0.8
174,9.97396392,0.838353481,511292.4585,235808.3293,0.306610042,4.232944e18,1.090245628,0.0,1,1,5.8326278384384675,-7,0.2,0.8
