Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ehot Ew Pe Ppar E Pmin Pmax
      0  0.00000E+00  0.00000E+000  1.92626E-019 -1.52643E-029 -2.44229E-029  1.89277E-028  0.00000E+000  0.00000E+000  0.00000E+000  0.00000E+000  4.22396E-005  4.93198E-006  4.93198E-006  1.62155E-005  6.54882E-007  1.24982E+000
    100  0.00000E+00  0.00000E+000  4.02099E-019 -1.23829E-015  4.59224E-015 -4.41915E-015 -1.20341E-005  1.21165E-005 -4.04224E-004  8.75676E-007  2.48990E-006  4.29481E-006  4.33423E-006  1.47737E-005  1.33952E-007  1.56368E+000
    200  0.00000E+00  0.00000E+000  3.76447E-019 -2.25228E-015 -5.93305E-015  5.57328E-015 -1.73813E-007  3.55636E-006 -3.83177E-004  7.46826E-007  1.35803E-006  4.06091E-006  3.85093E-006  9.13726E-006  3.35196E-008  1.77113E+000
    300  0.00000E+00  0.00000E+000  3.68780E-019  1.25572E-015  6.47009E-015 -3.42234E-015  7.67044E-006 -9.47624E-006 -2.84895E-004  7.18401E-007  1.20490E-006  3.82227E-006  3.68355E-006  8.16379E-006  2.11463E-008  1.55299E+000
    400  0.00000E+00  0.00000E+000  3.82418E-019  4.24456E-015  6.78696E-015 -1.66828E-015  3.07620E-005 -3.15319E-005 -5.48556E-005  6.70641E-007  1.23737E-006  3.93598E-006  3.70845E-006  7.30379E-006  9.08120E-009  1.57114E+000
    500  0.00000E+00  0.00000E+000  3.71467E-019  3.52288E-015  5.65731E-015  8.48955E-016 -3.28197E-005 -4.53313E-005  4.57904E-004  6.27995E-007  1.25606E-006  3.69537E-006  3.43794E-006  6.98016E-006  1.38231E-008  1.58723E+000
    600  0.00000E+00  0.00000E+000  3.74278E-019  1.16950E-015 -5.79636E-016 -6.67496E-016  5.12698E-005 -9.10472E-005  1.52136E-005  6.06940E-007  1.32777E-006  3.73478E-006  3.43034E-006  6.63453E-006  6.67882E-009  1.52820E+000
    700  0.00000E+00  0.00000E+000  3.69405E-019  1.07214E-015  5.01439E-015  1.56649E-015 -8.91264E-006 -4.09266E-005  5.00785E-004  6.38789E-007  1.43306E-006  3.70205E-006  3.37556E-006  6.60999E-006  1.08561E-008  1.53212E+000
    800  0.00000E+00  0.00000E+000  3.69835E-019  8.07695E-017  1.36430E-015 -1.28532E-015  2.47481E-005 -9.97105E-006  4.12243E-004  6.62015E-007  1.51033E-006  3.72081E-006  3.35057E-006  6.74583E-006  1.06625E-008  1.46896E+000
    900  0.00000E+00  0.00000E+000  3.68276E-019 -7.64999E-016  1.58757E-015  6.09362E-015 -1.34547E-007  1.24606E-006  6.36496E-004  6.82871E-007  1.57144E-006  3.68598E-006  3.31374E-006  6.88141E-006  1.44830E-008  1.48301E+000
   1000  0.00000E+00  0.00000E+000  3.68000E-019 -9.40371E-016  1.69416E-015  6.04974E-015  9.07285E-006 -2.16488E-005  5.93355E-004  6.69652E-007  1.58842E-006  3.65843E-006  3.27730E-006  6.87413E-006  1.26104E-008  1.43368E+000
   1100  0.00000E+00  0.00000E+000  3.59405E-019  1.57605E-015  1.37683E-015  6.45817E-015  1.45688E-005 -5.00780E-005  6.70475E-004  6.70426E-007  1.60740E-006  3.59981E-006  3.21372E-006  6.84928E-006  1.54490E-008  1.41070E+000
   1200  0.00000E+00  0.00000E+000  3.59521E-019 -4.74301E-016  1.69692E-015  3.67440E-015  2.15072E-005 -3.52748E-005  7.11122E-004  6.64404E-007  1.61561E-006  3.56923E-006  3.17114E-006  6.82602E-006  1.39329E-008  1.39295E+000
   1300  0.00000E+00  0.00000E+000  3.58926E-019 -1.82373E-017  2.19920E-015  3.53512E-015 -6.29932E-007 -2.64569E-005  7.32081E-004  6.56200E-007  1.60354E-006  3.54072E-006  3.13863E-006  6.79676E-006  1.28475E-008  1.37299E+000
   1400  0.00000E+00  0.00000E+000  3.58439E-019 -9.34334E-016  7.81088E-016  1.47862E-015  1.05945E-005 -2.61800E-005  7.10046E-004  6.52673E-007  1.58056E-006  3.53389E-006  3.12929E-006  6.76178E-006  1.25183E-008  1.38737E+000
   1500  0.00000E+00  0.00000E+000  3.58268E-019  1.27640E-016  2.87407E-015  1.59563E-015 -1.67067E-006 -2.87154E-005  7.92460E-004  6.63989E-007  1.58848E-006  3.52256E-006  3.11739E-006  6.80032E-006  1.33228E-008  1.36664E+000
   1600  0.00000E+00  0.00000E+000  3.57832E-019  3.86581E-016  1.65625E-015 -2.44871E-017 -4.23003E-006 -3.77702E-005  7.85230E-004  6.41904E-007  1.56591E-006  3.48437E-006  3.09540E-006  6.74396E-006  1.20466E-008  1.37201E+000
   1700  0.00000E+00  0.00000E+000  3.57656E-019  2.14753E-016  1.15071E-015  6.98026E-016  1.20213E-005 -4.72242E-005  7.98391E-004  6.36923E-007  1.54885E-006  3.47737E-006  3.09606E-006  6.72365E-006  1.26393E-008  1.36061E+000
   1800  0.00000E+00  0.00000E+000  3.57155E-019  1.02426E-015  1.71199E-015  7.82811E-016 -3.18597E-006 -5.36231E-005  8.17214E-004  6.29119E-007  1.54744E-006  3.45916E-006  3.09187E-006  6.71291E-006  1.19930E-008  1.36410E+000
   1900  0.00000E+00  0.00000E+000  3.57140E-019  1.13827E-015  7.02739E-016  7.32136E-016  8.53393E-006 -5.88265E-005  8.49828E-004  6.18574E-007  1.54962E-006  3.43253E-006  3.07583E-006  6.71214E-006  1.23097E-008  1.35991E+000
   2000  0.00000E+00  0.00000E+000  3.56847E-019  1.84376E-015  4.56483E-016  9.62362E-016  7.05527E-006 -6.02206E-005  8.40351E-004  6.05457E-007  1.54611E-006  3.41555E-006  3.06890E-006  6.69907E-006  1.18086E-008  1.35476E+000
   2100  0.00000E+00  0.00000E+000  3.56562E-019  2.23696E-015 -7.34319E-017  1.25953E-015  1.14392E-005 -6.26103E-005  8.80290E-004  6.01816E-007  1.55255E-006  3.40419E-006  3.06393E-006  6.71987E-006  1.26229E-008  1.36309E+000
   2200  0.00000E+00  0.00000E+000  3.56441E-019  2.40294E-015 -9.03087E-016  7.83307E-016  2.17953E-005 -6.01609E-005  9.08994E-004  5.93280E-007  1.56569E-006  3.38243E-006  3.04879E-006  6.74061E-006  1.24821E-008  1.36520E+000
   2300  0.00000E+00  0.00000E+000  3.56201E-019  2.64140E-015 -1.26665E-015  1.33494E-015  2.85932E-005 -6.33935E-005  9.27517E-004  5.82048E-007  1.56461E-006  3.36268E-006  3.03508E-006  6.74048E-006  1.31188E-008  1.35617E+000
   2400  0.00000E+00  0.00000E+000  3.55938E-019  2.72950E-015 -1.61653E-015  1.07147E-015  3.79323E-005 -6.44710E-005  9.43599E-004  5.77590E-007  1.56902E-006  3.35457E-006  3.02702E-006  6.74838E-006  1.35149E-008  1.35722E+000
   2500  0.00000E+00  0.00000E+000  3.55683E-019  2.81786E-015 -1.46804E-015  9.19732E-016  3.78440E-005 -5.72900E-005  9.80954E-004  5.74764E-007  1.57656E-006  3.34095E-006  3.01632E-006  6.78032E-006  1.42568E-008  1.35374E+000
   2600  0.00000E+00  0.00000E+000  3.55508E-019  3.03468E-015 -1.22786E-015  8.44857E-016  4.34368E-005 -6.43914E-005  9.95068E-004  5.65857E-007  1.57666E-006  3.32118E-006  2.99933E-006  6.77861E-006  1.45904E-008  1.35635E+000
