BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl,Outcomes
0.545294118,1.12941e18,639215.6863,213308.8235,0.29,5.477941176,1.101470588,3.0,1.0,1.0,1
0.555882353,4.98824e18,776470.5882,245073.5294,0.220588235,7.120098039,1.094607843,1.0,1.0,2.0,1
0.566470588,2.02353e18,866666.6667,186838.2353,0.31,8.00245098,1.075,9.0,1.0,1.0,1
0.577058824,4.0e18,384313.7255,108750.0,0.295882353,5.183823529,1.057352941,5.0,1.0,2.0,1
0.587647059,2.54118e18,450980.3922,148455.8824,0.205294118,5.526960784,1.131862745,9.0,1.0,1.0,1
0.598235294,1.57647e18,831372.549,115367.6471,0.194705882,6.75245098,1.00245098,1.0,1.0,2.0,1
0.608823529,3.36471e18,674509.8039,235808.8235,0.162941176,7.806372549,1.025,5.0,1.0,1.0,1
0.619411765,7.05882e17,560784.3137,61102.94118,0.218235294,6.360294118,1.034803922,6.0,1.0,2.0,1
0.63,1.69412e18,764705.8824,291397.0588,0.239411765,8.81127451,1.065196078,4.0,1.0,1.0,1
2.588823529,4.07059e18,454901.9608,196102.9412,0.192352941,9.595588235,1.199509804,9.0,1.0,2.0,1
1.932352941,3.05882e18,976470.5882,181544.1176,0.327647059,7.169117647,1.15245098,1.0,1.0,1.0,1
0.725294118,1.22353e18,501960.7843,116691.1765,0.253529412,7.659313725,1.172058824,9.0,1.0,2.0,1
0.672352941,1.64706e18,321568.6275,201397.0588,0.152352941,6.115196078,1.115196078,6.0,1.0,1.0,1
0.682941176,5.64706e17,603921.5686,91544.11765,0.100588235,8.737745098,1.155392157,2.0,1.0,2.0,1
0.693529412,3.64706e18,788235.2941,45220.58824,0.258235294,6.801470588,1.104411765,6.0,1.0,1.0,1
0.704117647,2.4e18,858823.5294,209338.2353,0.114705882,9.424019608,1.136764706,8.0,1.0,2.0,1
0.714705882,4.32941e18,580392.1569,286102.9412,0.108823529,6.531862745,1.012254902,2.0,1.0,1.0,1
0.651176471,2.94118e18,1.039215686e6,135220.5882,0.252352941,8.492647059,1.022058824,6.0,1.0,2.0,1
0.735882353,4.75294e18,1.058823529e6,180220.5882,0.288823529,9.007352941,1.19754902,7.0,1.0,1.0,1
0.746470588,4.58824e18,509803.9216,53161.76471,0.227647059,8.762254902,1.001470588,12.0,1.0,2.0,1
0.767647059,6.82353e17,505882.3529,255661.7647,0.126470588,7.218137255,1.075980392,3.0,1.0,1.0,1
0.799411765,3.38824e18,427450.9804,294044.1176,0.261764706,5.870098039,1.163235294,3.0,1.0,2.0,1
1.635882353,4.70588e18,800000.0,128602.9412,0.234705882,5.036764706,1.127941176,7.0,1.0,1.0,1
0.788823529,1.31765e18,701960.7843,172279.4118,0.207647059,8.24754902,1.046568627,3.0,1.0,2.0,1
0.81,3.76471e17,960784.3137,229191.1765,0.262941176,9.325980392,1.005392157,5.0,1.0,1.0,1
1.89,4.94118e17,1.047058824e6,190808.8235,0.148823529,5.257352941,1.140686275,5.0,1.0,2.0,1
1.646470588,3.2e18,631372.549,100808.8235,0.321764706,8.149509804,1.008333333,6.0,1.0,1.0,1
0.831176471,2.8e18,439215.6863,38602.94118,0.193529412,9.227941176,1.078921569,6.0,1.0,2.0,1
2.038235294,2.65882e18,1.019607843e6,274191.1765,0.195882353,6.31127451,1.186764706,4.0,1.0,1.0,1
0.873529412,1.50588e18,549019.6078,250367.6471,0.167647059,9.276960784,1.159313725,4.0,1.0,2.0,1
