	BrMin	BrFactor_ADAPT	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StocasticExponent	rMin_AWSoMR	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
0	9.786002587	0.663890855	627477.0748	281445.0651	0.127047291	1.055335872	1.152832013	0.727272727	1	1
1	1.590428385	1.42413834	307670.4156	225304.8284	0.294030511	1.062620138	1.102447891	0.363636364	1	2
2	6.212331965	1.003022277	351995.2234	136447.176	0.330024691	1.08467317	1.169549707	0.090909091	1	1
3	3.563326197	0.581093181	408669.8372	172381.7852	0.184033553	1.124034164	1.155343821	0.272727273	1	2
4	9.23930577	1.307543416	450208.5302	126236.9991	0.191910071	1.061300727	1.109828719	0.272727273	1	1
5	2.449372543	1.051005982	583394.1195	43160.95199	0.265144296	1.099869206	1.100655012	0.454545455	1	2
6	1.087390904	0.89869488	462564.6615	295539.5171	0.143014446	1.137016705	1.177377326	0.545454545	1	1
7	5.044858684	0.550009916	779931.6622	100230.7196	0.257210905	1.052794808	1.076321852	0.363636364	1	2
8	4.935757723	0.69865034	538828.4126	149443.6491	0.284117733	1.076188618	1.167012694	0	1	1
9	6.734691106	1.52435414	421318.1773	70101.39383	0.120898274	1.144978463	1.186329001	0.363636364	1	2
10	2.901465974	1.781089588	331966.7041	118390.902	0.324354288	1.066701951	1.107566518	0.272727273	1	1
11	4.076198598	1.135526209	364735.979	236813.9022	0.275035316	1.131063303	1.170625626	1	1	2
12	7.281993353	0.818014945	693867.2842	185379.7153	0.198066627	1.058742493	1.19178172	0.090909091	1	1
13	1.273333349	0.63596134	961240.761	74301.72422	0.312616511	1.121497286	1.141738242	0.090909091	1	2
14	8.746327104	0.748751527	319922.136	57256.79543	0.221051483	1.081135227	1.165667625	0.909090909	1	1
15	8.007088313	0.600414681	946344.945	156293.7567	0.206577629	1.116773458	1.198770698	0.454545455	1	2
16	3.360737755	0.91565448	610227.944	248243.1755	0.336242866	1.054531358	1.168356401	0.090909091	1	1
17	5.16516549	1.171831407	331194.295	192063.2046	0.139202769	1.126262793	1.191368239	0	1	2
18	2.012370969	0.715445113	384915.2237	102147.3433	0.117327852	1.088407286	1.137170542	0.363636364	1	1
19	4.268545944	0.652628333	715139.9786	62865.13751	0.149532684	1.102769413	1.174392643	0	1	2
20	0.687644747	2.170811251	317600.8614	253271.823	0.167032319	1.06503903	1.105099006	0.181818182	1	1
21	9.676204277	0.868720301	429016.5015	205583.7539	0.27861379	1.077044258	1.162277427	0	1	2
22	1.4659852	1.084812939	512398.9291	284439.4537	0.201878245	1.050425496	1.141713308	0.090909091	1	1
23	5.711870494	0.799292313	553522.8245	77460.8659	0.181565662	1.112695065	1.117041775	0	1	2
24	7.162355513	0.613045782	498565.6505	261240.9047	0.290101761	1.09750219	1.136606442	0.545454545	1	1
25	1.783538968	0.835474134	756582.0683	133440.4141	0.160551909	1.11922793	1.194556829	0.363636364	1	2
26	8.236026093	0.952605767	524656.7419	116242.9859	0.13306086	1.090963607	1.196312236	0.818181818	1	1
27	0.034959924	1.269888364	441764.1213	36859.06522	0.326337196	1.056372426	1.118500387	0	1	2
28	9.0152607	2.035440008	305340.8589	151601.0451	0.107881182	1.067554541	1.148776936	0.454545455	1	1
29	7.688696289	1.390074899	397559.7588	271071.83	0.187729328	1.105312394	1.199387704	0.545454545	1	2
30	0.894489405	0.564010592	667268.7618	219678.2786	0.234754666	1.083003761	1.100045269	0.909090909	1	1
31	4.5084431	1.034351699	343545.1014	90457.41159	0.195832425	1.122024056	1.129602772	0.181818182	1	2
32	9.124931712	0.68536084	801543.9298	165004.4893	0.321632311	1.059778807	1.182307273	0.727272727	1	1
33	1.137252352	0.678089738	902806.6993	49370.23428	0.189973564	1.064709586	1.073263375	0.727272727	1	2
34	3.353913063	1.329648294	324341.6296	296092.7777	0.107056712	1.08638573	1.086996795	0.727272727	1	1
35	5.309862795	1.045759041	642048.6795	210409.9212	0.300302828	1.101857185	1.183714098	0.545454545	1	2
36	8.84309764	0.571627555	365981.9784	65379.07912	0.156417133	1.070677107	1.096219453	0	1	1
37	7.368172652	0.760874907	734097.0717	159505.4436	0.124857287	1.142593654	1.173778952	0.909090909	1	2
38	9.546071801	1.281667683	543051.4971	187001.6988	0.162803434	1.053244414	1.171457548	0.454545455	1	1
39	1.497135903	0.957694109	423345.522	236297.8486	0.235774352	1.131900965	1.159102524	0.363636364	1	2
40	4.67819104	1.688213335	378998.445	143454.1957	0.17733302	1.094048411	1.123366337	0.363636364	1	1
41	2.651220157	0.622781502	597093.668	107109.9763	0.213755514	1.057629122	1.067856673	0.727272727	1	2
42	5.700308508	1.482107827	467765.5006	62007.82101	0.260752463	1.091812141	1.17997979	0.636363636	1	1
43	4.013280494	0.808845839	455407.748	231063.2756	0.314279168	1.084244834	1.142479018	0.909090909	1	2
