	BrMin	BrFactor_ADAPT	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StocasticExponent	nChromoSiAWSoM	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
0	9.786002587	0.663890855	627477.0748	281445.0651	0.127047291	1.578530E+18	1.152832013	0.727272727	1	1
1	1.590428385	1.42413834	307670.4156	225304.8284	0.294030511	4.567323E+18	1.102447891	0.363636364	1	2
2	6.212331965	1.003022277	351995.2234	136447.176	0.330024691	7.424349E+17	1.169549707	0.090909091	1	1
3	3.563326197	0.581093181	408669.8372	172381.7852	0.184033553	1.316150E+18	1.155343821	0.272727273	1	2
4	9.23930577	1.307543416	450208.5302	126236.9991	0.191910071	4.091039E+18	1.109828719	0.272727273	1	1
5	1.087390904	0.89869488	462564.6615	295539.5171	0.143014446	3.018366E+18	1.100655012	0.454545455	1	2
6	5.044858684	0.550009916	779931.6622	100230.7196	0.257210905	4.175052E+17	1.177377326	0.545454545	1	1
7	4.935757723	0.69865034	538828.4126	149443.6491	0.284117733	3.860614E+18	1.076321852	0.363636364	1	2
8	2.901465974	1.781089588	331966.7041	118390.902	0.324354288	2.732932E+18	1.167012694	0	1	1
9	4.076198598	1.135526209	364735.979	236813.9022	0.275035316	1.498124E+18	1.186329001	0.363636364	1	2
10	7.281993353	0.818014945	693867.2842	185379.7153	0.198066627	4.481058E+18	1.107566518	0.272727273	1	1
11	8.746327104	0.748751527	319922.136	57256.79543	0.221051483	3.522941E+18	1.170625626	1	1	2
12	8.007088313	0.600414681	946344.945	156293.7567	0.206577629	2.028524E+18	1.19178172	0.090909091	1	1
13	3.360737755	0.91565448	610227.944	248243.1755	0.336242866	4.930625E+18	1.141738242	0.090909091	1	2
14	5.16516549	1.171831407	331194.295	192063.2046	0.139202769	1.946515E+18	1.165667625	0.909090909	1	1
15	2.012370969	0.715445113	384915.2237	102147.3433	0.117327852	3.371629E+18	1.198770698	0.454545455	1	2
16	4.268545944	0.652628333	715139.9786	62865.13751	0.149532684	5.661978E+17	1.168356401	0.090909091	1	1
17	9.676204277	0.868720301	429016.5015	205583.7539	0.27861379	2.868244E+18	1.191368239	0	1	2
18	1.4659852	1.084812939	512398.9291	284439.4537	0.201878245	1.084135E+18	1.137170542	0.363636364	1	1
19	5.711870494	0.799292313	553522.8245	77460.8659	0.181565662	4.309028E+18	1.174392643	0	1	2
20	7.162355513	0.613045782	498565.6505	261240.9047	0.290101761	8.674797E+17	1.105099006	0.181818182	1	1
21	8.236026093	0.952605767	524656.7419	116242.9859	0.13306086	2.430284E+18	1.162277427	0	1	2
22	0.034959924	1.269888364	441764.1213	36859.06522	0.326337196	4.242666E+18	1.141713308	0.090909091	1	1
23	7.688696289	1.390074899	397559.7588	271071.83	0.187729328	4.717797E+18	1.117041775	0	1	2
24	0.894489405	0.564010592	667268.7618	219678.2786	0.234754666	1.730171E+18	1.136606442	0.545454545	1	1
25	4.5084431	1.034351699	343545.1014	90457.41159	0.195832425	2.926109E+17	1.194556829	0.363636364	1	2
26	9.124931712	0.68536084	801543.9298	165004.4893	0.321632311	3.072984E+18	1.196312236	0.818181818	1	1
27	3.353913063	1.329648294	324341.6296	296092.7777	0.107056712	5.830312E+17	1.118500387	0	1	2
28	8.84309764	0.571627555	365981.9784	65379.07912	0.156417133	4.408142E+18	1.148776936	0.454545455	1	1
29	7.368172652	0.760874907	734097.0717	159505.4436	0.124857287	1.902713E+18	1.199387704	0.545454545	1	2
30	1.497135903	0.957694109	423345.522	236297.8486	0.235774352	3.931692E+18	1.100045269	0.909090909	1	1
31	2.651220157	0.622781502	597093.668	107109.9763	0.213755514	2.945523E+18	1.129602772	0.181818182	1	2
32	4.013280494	0.808845839	455407.748	231063.2756	0.314279168	2.202823E+18	1.182307273	0.727272727	1	1
33	8.164561295	1.096541615	410695.5606	134824.8239	0.309279237	3.178008E+18	1.073263375	0.727272727	1	2
34	0.124783036	0.873890443	530696.0303	85000.37275	0.112267528	1.394925E+18	1.086996795	0.727272727	1	1
35	7.773510143	0.722882167	686619.1443	255920.3416	0.251798241	6.654976E+17	1.183714098	0.545454545	1	2
36	0.828090918	1.517015398	353239.7922	166520.4704	0.208537587	3.682417E+18	1.096219453	0	1	1
37	6.349612207	0.927145392	312088.4787	127764.4649	0.167905347	1.657233E+18	1.173778952	0.909090909	1	2
38	2.206954272	0.593225029	844714.6295	272456.498	0.282103635	4.108325E+18	1.171457548	0.454545455	1	1
39	9.738970911	1.617818721	338343.9763	262883.6646	0.310590631	3.230827E+18	1.159102524	0.363636364	1	2
40	1.694919004	0.758131921	621820.9846	177175.5256	0.147401392	2.150828E+17	1.123366337	0.363636364	1	1
41	8.285649426	0.626234667	859414.7485	224448.027	0.176270207	3.958189E+18	1.067856673	0.727272727	1	2
42	3.083416419	0.823341224	395532.891	31112.65427	0.305349472	1.805939E+18	1.17997979	0.636363636	1	1
43	5.424616649	0.705930485	440518.4081	269532.1952	0.212458928	2.352683E+18	1.142479018	0.909090909	1	2
44	4.594995817	0.54238346	1078315.269	250209.0088	0.118873314	3.695516E+18	1.07498305	0.090909091	1	1
45	9.348514627	0.910358666	564439.1185	141376.3541	0.248540381	9.433209E+17	1.180343416	0.545454545	1	2
46	2.397603425	1.194019284	494145.68	96298.45137	0.17160008	2.727570E+18	1.051120994	1	1	1
47	7.897955717	1.062850191	481887.2087	196798.2034	0.103485477	4.383040E+18	1.169164987	0.818181818	1	2
48	3.154853396	0.728625982	773895.2288	71617.89002	0.22928352	1.452866E+18	1.151884326	0.272727273	1	1
49	4.904499908	1.382652136	427772.4095	101614.8726	0.15260467	1.008227E+18	1.077010762	0.909090909	1	2
50	6.864720904	0.588290271	507393.5457	51767.32768	0.319559502	2.795992E+18	1.078387618	0.636363636	1	1
51	6.079305375	1.657018582	312643.8769	87141.34956	0.281031437	4.069426E+18	1.190783413	0.090909091	1	2
52	7.255801999	1.230821962	382889.7864	200811.8056	0.23957862	4.334866E+17	1.184632397	0.636363636	1	1
53	0.547135	0.673189965	325994.6004	160997.5912	0.264330123	4.858299E+18	1.188427679	0.363636364	1	2
54	8.048381389	0.85698442	613039.5446	61487.11522	0.184420289	2.913509E+18	1.198048593	0.181818182	1	1
55	1.102807913	1.113422979	345538.4884	108702.1096	0.227626923	1.134093E+18	1.161340567	0.636363636	1	2
56	6.700052693	0.792038661	388350.5721	189653.256	0.268317757	3.909274E+18	1.147306297	0.181818182	1	1
57	4.363523689	0.94400175	444151.5323	153716.7206	0.129498867	4.451184E+18	1.171346817	0.454545455	1	2
58	7.403303438	1.160360107	514432.7637	65896.30173	0.292516591	1.471768E+18	1.186208871	0.181818182	1	1
59	9.581207421	0.576290217	711543.6925	245282.9896	0.239833658	2.589705E+18	1.059513046	0.636363636	1	2
60	0.399228109	0.739837369	569646.9497	299769.2922	0.331513257	3.646581E+18	1.135663169	0.090909091	1	1
61	1.849674925	0.554647572	477778.0103	38931.15221	0.200503458	1.689302E+18	1.182385449	0.363636364	1	2
62	2.923383708	1.028943949	501685.2261	168108.7544	0.222525039	6.879707E+17	1.151247944	0.090909091	1	1
63	5.972316328	1.346488173	431893.8019	255402.9641	0.17558394	3.714408E+18	1.195361691	0.454545455	1	2
64	3.626338711	1.465350089	376000.45	88690.06658	0.336607573	3.125458E+18	1.074072598	0.727272727	1	1
65	5.582133038	0.639547411	659170.7567	132173.5946	0.14341547	1.351902E+18	1.135620995	0.363636364	1	2
66	9.196124824	0.97462491	332896.1575	277214.7699	0.287305746	2.150352E+18	1.168894063	0.818181818	1	1
67	3.848378037	0.605220798	648864.7752	94730.53843	0.277348262	9.020414E+17	1.197819189	1	1	2
68	6.902805008	1.365729909	315987.4372	141905.7985	0.204081089	2.676774E+18	1.16380862	0.181818182	1	1
69	0.274669286	1.079615827	374348.367	223908.1111	0.179388179	2.301956E+18	1.182916171	0.363636364	1	2
70	7.625987702	0.656374632	417771.4914	120473.3771	0.332795082	1.839716E+18	1.17606718	0	1	1
71	4.551930283	1.247826845	473351.7483	173473.7608	0.283734482	3.264533E+18	1.13697291	0.363636364	1	2
72	6.511995883	0.99155104	593045.5163	265514.5189	0.116718307	2.392637E+17	1.144752296	0.181818182	1	1
73	0.982178142	0.609464795	796849.6766	183593.6769	0.105871712	2.139240E+18	1.164119861	1	1	2
74	5.150052409	0.840296667	460701.0169	73187.22709	0.231321856	4.899561E+18	1.096315651	0.454545455	1	1
75	8.998381062	0.77498852	534439.0063	201353.4035	0.19523766	3.496423E+18	1.091688047	0.545454545	1	2
76	7.210976935	0.559367728	965444.7202	292843.1135	0.163018204	6.019314E+17	1.094978877	0	1	1
77	9.388575221	1.2108014	362094.4729	54393.3067	0.125569303	9.839125E+17	1.186276013	0	1	2
78	2.808664425	0.689024736	303246.0159	243970.0733	0.130869055	4.358804E+18	1.161287682	0.545454545	1	1
79	3.801327203	1.541227231	334922.024	46846.62652	0.161241809	4.049637E+18	1.19911966	1	1	2
80	7.007276507	0.681802028	604913.3146	123589.789	0.238273666	2.229199E+18	1.17908507	1	1	1
81	8.395735794	0.881747594	381199.7155	251722.9767	0.215284236	1.274816E+18	1.171795605	0.272727273	1	2
82	2.973311015	0.566771469	863802.1968	143289.9436	0.325617198	3.286384E+18	1.189480755	1	1	1
83	0.737298485	0.765649115	436311.722	80803.56063	0.300649154	7.668905E+17	1.095289985	1	1	2
84	4.661158298	0.83481356	562392.7521	226889.0931	0.159543117	1.612143E+18	1.130312325	0.545454545	1	1
85	6.460245885	1.118735773	479022.5314	280931.7069	0.32282392	4.591711E+18	1.198961403	1	1	2
86	3.210637553	0.98624832	491770.9183	111284.1341	0.252129815	3.573594E+18	1.132323838	0.818181818	1	1
87	0.141661724	1.73361007	310573.0912	271631.9062	0.190864115	3.249964E+18	1.183228303	0.181818182	1	2
88	2.177364575	0.646952136	516262.8885	240494.7015	0.171016329	4.522411E+18	1.152990963	0.454545455	1	1
89	1.318158291	1.290546693	393551.2681	151040.0672	0.149746381	2.009916E+18	1.150737482	0.909090909	1	2
90	5.859454374	0.597916833	347565.7854	214584.6217	0.113810795	2.984809E+18	1.105535627	0.727272727	1	1
91	8.041537688	1.253056806	302001.7808	80082.82562	0.25605214	2.461214E+18	1.093589185	1	1	2
92	4.780759183	0.630033923	357676.076	286011.2391	0.248007638	2.836395E+18	1.140622173	0.818181818	1	1
93	7.434473112	1.017412737	400214.9371	47592.59449	0.146058857	3.424026E+18	1.19769042	1	1	2
94	1.430854478	0.702213107	742197.7978	209287.3474	0.275729565	1.216824E+18	1.178492299	0.272727273	1	1
95	8.58859557	0.547236394	576465.0984	192600.7832	0.303102508	4.973722E+18	1.146223001	0.090909091	1	2
96	9.950617703	0.732243969	471324.7374	145573.7496	0.165047061	3.152489E+17	1.148361894	0.818181818	1	1
97	0.068870473	0.583603675	1009890.677	129414.5614	0.136296249	4.072440E+18	1.100499693	0.090909091	1	2
98	2.851937881	1.154941885	412570.3186	215972.229	0.21886291	4.740358E+18	1.180397441	0.909090909	1	1
99	6.062158449	0.93255231	546038.1955	273706.9691	0.262097932	1.761966E+18	1.133905366	0.363636364	1	2
100	3.711133595	0.782345301	690212.7989	35286.86745	0.100092848	2.377869E+18	1.143045309	0.454545455	1	1
101	5.515715543	1.576740127	369928.5395	116776.7151	0.297078932	4.199474E+18	1.100165333	0.272727273	1	2
102	6.269273618	0.669554987	828599.9844	87832.74204	0.193560459	3.734747E+18	1.167488571	0.454545455	1	1
103	2.287273749	0.851872262	314741.7717	181372.4358	0.319012443	8.243647E+17	1.134075619	0.727272727	1	2
104	5.235552464	0.661471678	375724.4386	36037.94691	0.171866971	2.078956E+18	1.068051437	0.454545455	1	1
105	8.88841575	0.997043593	601010.4321	181070.8811	0.25485545	1.125599E+18	1.131177533	0.090909091	1	2
106	1.942384832	1.217523897	334136.4883	258312.6489	0.211574086	2.903849E+18	1.178157817	0.545454545	1	1
107	1.551915281	0.574465698	556928.2159	145152.2002	0.109210388	6.163547E+17	1.159834718	0.727272727	1	2
108	8.467659317	0.742222191	724406.3186	130165.1801	0.199398465	4.373532E+18	1.106691785	0.090909091	1	1
109	2.586370499	1.049256235	432398.3133	274338.0447	0.310317361	1.463218E+18	1.174508021	0.818181818	1	2
110	4.036321442	0.896761909	515490.3708	46961.51237	0.217714849	3.722921E+18	1.167955913	0.181818182	1	1
111	7.086017313	1.182830305	444656.7951	105217.686	0.264761806	6.976491E+17	1.148926018	0.727272727	1	2
112	9.908409705	0.555978865	1029366.536	208536.7191	0.332268387	9.155857E+17	1.129631175	0.545454545	1	1
113	0.111203059	0.692103047	489421.3809	193022.3231	0.238829272	4.672470E+18	1.169485208	0.727272727	1	2
114	7.770000147	0.811856932	346779.5944	157102.2658	0.153362281	3.985248E+18	1.086941469	0.818181818	1	1
115	3.597844995	0.637721727	810661.4728	234413.7111	0.2675624	1.777967E+18	1.133891809	0.818181818	1	2
116	6.382723732	0.746416949	670528.5033	285260.1702	0.29634331	3.135162E+18	1.10658759	0.363636364	1	1
117	6.893537999	0.606527247	894203.5383	194990.2348	0.131754206	1.629027E+18	1.175340981	0.818181818	1	2
118	1.661807776	0.913848646	361577.3726	69274.40249	0.260838965	4.137447E+18	1.153366539	0.181818182	1	1
119	3.086926118	0.708761414	637084.4726	215335.2461	0.161913101	2.685896E+18	1.104998555	0.909090909	1	2
120	6.140895647	1.505294697	304336.8105	292601.1697	0.235133926	9.123377E+17	1.149759568	0.818181818	1	1
121	3.47736811	1.082949559	459448.8602	58405.00963	0.157049289	2.484063E+17	1.130327113	0.818181818	1	2
122	5.438196925	0.862697922	580380.0922	111915.7936	0.324021176	3.274846E+18	1.153477258	0.181818182	1	1
123	9.325473381	0.796829311	405677.9113	240073.7268	0.106976588	4.823516E+18	1.156569348	0.272727273	1	2
124	7.962805077	0.610770349	548386.1478	81224.5247	0.24504785	4.656383E+17	1.179354415	0.181818182	1	1
125	9.990995768	1.702042606	328682.6916	49113.44868	0.266510572	1.588066E+18	1.182088181	0.272727273	1	2
126	6.809941824	0.946507028	472098.8171	226257.4281	0.207996042	1.911037E+18	1.104526483	0.727272727	1	1
127	4.155900879	0.557501878	317079.0071	122839.1743	0.30981252	2.527965E+18	1.135015799	0.272727273	1	2
128	8.666109527	1.318165323	373830.5161	171091.4841	0.314129468	2.753146E+18	1.14774353	0.090909091	1	1
129	3.8133456	0.679969134	850248.3521	293194.0498	0.114564326	3.030235E+17	1.116796455	0.181818182	1	2
130	9.821249915	1.039736517	392249.4968	98420.90057	0.225485058	3.063413E+18	1.159096772	0.272727273	1	1
131	3.000889176	1.392829373	347878.7756	195715.4575	0.278544681	2.238307E+18	1.140509154	0.090909091	1	2
132	6.206075815	0.569164666	618512.485	243420.8817	0.201588469	4.059910E+18	1.110067596	0.090909091	1	1
133	3.547609821	0.95588842	573556.6868	72486.1036	0.280595965	4.600794E+18	1.123663561	0.545454545	1	2
134	6.471954943	0.832427568	707630.2122	59130.48919	0.253251387	8.392389E+17	1.089502815	0	1	1
135	2.475160242	0.61609769	449613.8273	201704.909	0.138580681	3.797510E+18	1.130555264	0.545454545	1	2
136	1.025287958	0.802337236	504036.9093	120121.8609	0.269576498	1.538483E+18	1.169701726	0.090909091	1	1
137	4.988400741	0.871996034	478554.295	266215.6368	0.187554022	5.381768E+17	1.197986795	0.363636364	1	2
138	8.955128777	0.649346227	764677.7393	138254.4681	0.301755974	2.895350E+18	1.138738427	0.909090909	1	1
139	7.324565346	0.720606621	335234.239	95279.73959	0.326504297	1.200790E+18	1.167994216	0.181818182	1	2
140	0.477971411	1.175404512	379898.6949	266406.0894	0.289556581	3.825970E+18	1.146743007	1	1	1
141	2.694894234	0.59502835	996077.7843	44979.19556	0.237166615	4.957969E+18	1.138675879	0.818181818	1	2
142	3.432912023	0.751504293	368873.9607	131624.85	0.192806816	1.053007E+18	1.087165611	0.727272727	1	1
143	6.586748131	0.632386949	912340.7848	118116.8644	0.101095289	4.509889E+18	1.137949825	0	1	2
144	8.76461338	1.140913828	315198.1944	229970.5671	0.183749268	4.277899E+18	1.107779063	0	1	1
145	1.969799274	0.82159159	644967.3409	277718.6545	0.230766019	2.451604E+18	1.088947569	0.545454545	1	2
146	9.623560961	0.703511452	587584.688	39282.07492	0.137049661	1.990389E+18	1.143016926	0.454545455	1	1
147	0.357055147	0.544323059	731227.2385	92340.93807	0.164044393	3.047581E+18	1.190978641	1	1	2
148	5.773973737	0.904379869	413860.2646	167407.0551	0.29312733	3.892041E+17	1.147459264	1	1	1
149	3.925889498	1.310821371	401504.1318	66593.30735	0.221790754	1.770530E+18	1.178111315	0.818181818	1	2
150	7.136568113	1.056692291	533661.2549	154418.4134	0.178537764	4.750096E+18	1.083267562	0.272727273	1	1
151	8.251742171	0.585955548	458350.8234	299418.3599	0.274622854	3.345347E+18	1.119553861	0.363636364	1	2
152	0.900745853	1.006598181	302457.4284	60983.23619	0.121318942	2.612403E+18	1.197054111	0.272727273	1	1
153	4.473195474	0.666642817	676962.9885	190202.0111	0.339270724	4.208022E+18	1.159561364	0.090909091	1	2
154	6.277014795	1.429298143	356622.2478	233161.6513	0.142268732	2.387586E+18	1.096717048	0.818181818	1	1
155	6.974470511	0.855184721	365204.215	289498.7283	0.109834855	3.744628E+18	1.133896411	1	1	2
156	1.580856154	0.666243751	879062.4605	113685.236	0.220165986	8.142294E+17	1.192667637	0.272727273	1	1
157	8.399550761	0.785361225	639698.4741	161367.5683	0.313721502	4.557066E+18	1.12401625	0.454545455	1	2
158	0.203519079	1.581632878	318880.1333	76191.62112	0.146723977	1.569443E+18	1.144679272	0.636363636	1	1
159	7.539743504	1.158486376	463865.6817	242887.6483	0.247334256	2.269556E+18	1.133438209	0.727272727	1	2
160	0.750573529	0.937973113	596305.0924	197287.1534	0.174087786	4.081935E+18	1.167321544	0.727272727	1	1
161	4.637811782	0.737368239	421005.962	51199.52876	0.256105687	3.094741E+18	1.146204494	0.363636364	1	2
162	4.053619183	1.625704423	344583.2845	233722.3068	0.115403462	9.302996E+17	1.181364134	0.545454545	1	1
163	3.275181681	0.552361919	525221.6121	270100.0047	0.15556855	2.053789E+18	1.135362314	0.363636364	1	2
164	5.074878279	1.409607469	408356.8474	220782.1974	0.31882978	3.869683E+18	1.17028107	0.454545455	1	1
165	6.744268069	0.696792721	793493.1356	249839.4828	0.183029399	3.396608E+18	1.179370081	0.818181818	1	2
166	2.122280225	1.022834861	451510.3018	140887.4096	0.297579253	1.244573E+18	1.113178914	0.727272727	1	1
167	9.468563613	0.633049043	306627.6623	176805.5389	0.218354319	5.161702E+17	1.132946959	0	1	2
168	2.728732959	1.258710382	352464.2346	121697.8889	0.165236102	4.491281E+18	1.132342378	0.727272727	1	1
