	BrMin	BrFactor_ADAPT	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StocasticExponent	rMin_AWSoMR	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
0	8.070142604	1.750417022	445660.8152	246107.6357	0.152450354	1.079633423	1.170932813	0.545454545	1	1
1	3.768027266	0.852264308	916743.4929	122003.9471	0.241128422	1.101365192	1.15237533	0.272727273	1	2
2	6.963600724	1.108667837	849671.1848	30519.25922	0.164363441	1.061998065	1.196836308	0.818181818	1	1
3	9.786002587	0.663890855	627477.0748	281445.0651	0.127047291	1.055335872	1.152832013	0.727272727	1	1
4	1.590428385	1.42413834	307670.4156	225304.8284	0.294030511	1.062620138	1.102447891	0.363636364	1	2
5	4.732412752	2.306532964	488423.4508	48086.69027	0.1115764	1.111923791	1.161236658	0.818181818	1	2
6	6.682866209	2.085988809	571741.7916	104238.7635	0.308563829	1.051293732	1.15040052	0.181818182	1	1
7	0.233543406	0.787219736	891238.3391	263872.8247	0.219109452	1.129659856	1.175959154	0.090909091	1	2
8	3.016910783	1.21947951	681613.284	84484.46251	0.136983274	1.05704535	1.072842201	0.272727273	1	1
9	6.212331965	1.003022277	351995.2234	136447.176	0.330024691	1.08467317	1.169549707	0.090909091	1	1
10	7.570067651	0.940333215	747942.7254	97154.99414	0.298698765	1.09160909	1.093462246	0.181818182	1	2
11	4.341646542	1.662345906	614262.3482	203434.5751	0.207376769	1.106153118	1.119538505	0	1	1
12	7.386461371	2.458586686	344322.9375	286505.9793	0.250615024	1.14660236	1.185785377	0.909090909	1	2
13	0.78028792	1.156660695	1018478.755	140651.3887	0.101746698	1.107826337	1.123453753	0.272727273	1	1
14	3.563326197	0.581093181	408669.8372	172381.7852	0.184033553	1.124034164	1.155343821	0.272727273	1	2
15	5.353106672	1.372983367	526471.5154	251197.9117	0.230825975	1.070849785	1.083836488	0.272727273	1	2
16	4.627243008	1.496451425	792191.7578	268807.2306	0.317827114	1.142390078	1.195108103	0.545454545	1	1
17	6.417175788	0.736070022	1072642.948	221067.4031	0.154813188	1.053809631	1.102084033	0.181818182	1	2
18	0.41652814	2.137136572	390548.7908	79522.16752	0.24535876	1.131305614	1.159170086	0.454545455	1	1
19	9.23930577	1.307543416	450208.5302	126236.9991	0.191910071	1.061300727	1.109828719	0.272727273	1	1
20	2.449372543	1.051005982	583394.1195	43160.95199	0.265144296	1.115883833	1.135841462	0.363636364	1	2
21	7.886477001	1.188782192	596044.7455	211937.2769	0.339821399	1.059579922	1.110978385	0.454545455	1	1
22	1.087390904	0.89869488	462564.6615	295539.5171	0.143014446	1.099869206	1.100655012	0.454545455	1	2
23	9.920830529	2.271748728	377900.3605	179824.1669	0.299588593	1.125541041	1.135981781	0.636363636	1	2
24	5.044858684	0.550009916	779931.6622	100230.7196	0.257210905	1.137016705	1.177377326	0.545454545	1	1
25	4.935757723	0.69865034	538828.4126	149443.6491	0.284117733	1.052794808	1.076321852	0.363636364	1	2
26	6.734691106	1.52435414	421318.1773	70101.39383	0.120898274	1.064121989	1.125089797	0.272727273	1	1
27	8.932087456	1.024141434	1006220.945	241018.099	0.173317878	1.08619871	1.145543468	0.454545455	1	2
28	2.901465974	1.781089588	331966.7041	118390.902	0.324354288	1.076188618	1.167012694	0	1	1
29	2.133154818	1.341782468	735195.1085	198050.2632	0.246346564	1.102075102	1.105535361	0	1	1
30	4.076198598	1.135526209	364735.979	236813.9022	0.275035316	1.144978463	1.186329001	0.363636364	1	2
31	7.281993353	0.818014945	693867.2842	185379.7153	0.198066627	1.066701951	1.107566518	0.272727273	1	1
32	3.604155229	2.221656811	559000.3647	273211.716	0.236521725	1.056980634	1.06563358	0.363636364	1	2
33	5.564987028	1.899794953	476171.831	217588.089	0.163462483	1.1455486	1.188569905	0.090909091	1	1
34	1.273333349	0.63596134	961240.761	74301.72422	0.312616511	1.067770985	1.187025169	0.363636364	1	2
35	8.746327104	0.748751527	319922.136	57256.79543	0.221051483	1.131063303	1.170625626	1	1	2
36	0.54037929	1.610316778	640218.6023	112868.5698	0.177995299	1.104723218	1.114252932	0.636363636	1	1
37	9.217850333	1.834354842	500663.843	92594.24753	0.259568531	1.134956231	1.138102027	0.727272727	1	2
38	2.698404007	0.97087398	837320.3754	199295.5683	0.11060499	1.050232254	1.12246801	0	1	1
39	5.904351075	1.261095215	904101.2406	291306.4814	0.303793353	1.113258702	1.160144115	0.363636364	1	2
40	2.257171555	2.691569515	432920.1482	144023.8076	0.212595868	1.096908418	1.126417023	0.454545455	1	1
41	8.007088313	0.600414681	946344.945	156293.7567	0.206577629	1.058742493	1.19178172	0.090909091	1	1
42	3.83134434	2.002839311	415865.8618	279316.557	0.295782926	1.060671459	1.081198624	0	1	2
43	6.881043196	2.25466566	548987.3642	227383.6401	0.102795092	1.126058162	1.19908468	0.545454545	1	1
44	1.202661323	1.361028843	813795.6472	64785.94282	0.253282071	1.122742708	1.175563174	0.090909091	1	2
45	9.722703991	1.678634673	726598.7046	119846.5399	0.184862219	1.087299766	1.164544246	0.090909091	1	1
46	3.360737755	0.91565448	610227.944	248243.1755	0.336242866	1.121497286	1.141738242	0.090909091	1	2
47	5.16516549	1.171831407	331194.295	192063.2046	0.139202769	1.081135227	1.165667625	0.909090909	1	1
48	8.346435204	2.594225484	474274.7137	82352.7925	0.320776143	1.065602238	1.129743935	0.727272727	1	2
49	6.619859582	1.07497457	871057.7564	297081.1646	0.242658985	1.080557487	1.112557561	0.636363636	1	1
50	0.296889108	1.79775195	592116.0648	138529.1504	0.153732065	1.094767136	1.196655639	0.090909091	1	2
51	8.816951427	1.507568053	654918.7213	50227.29303	0.280312621	1.116989569	1.166439347	0	1	1
52	2.012370969	0.715445113	384915.2237	102147.3433	0.117327852	1.116773458	1.198770698	0.454545455	1	2
53	4.268545944	0.652628333	715139.9786	62865.13751	0.149532684	1.054531358	1.168356401	0.090909091	1	1
54	0.687644747	2.170811251	317600.8614	253271.823	0.167032319	1.053941753	1.065191852	0.545454545	1	2
55	9.676204277	0.868720301	429016.5015	205583.7539	0.27861379	1.126262793	1.191368239	0	1	2
56	1.4659852	1.084812939	512398.9291	284439.4537	0.201878245	1.088407286	1.137170542	0.363636364	1	1
57	8.553540825	1.244008539	768938.1966	235572.6258	0.11452726	1.082719365	1.116679216	0.181818182	1	1
58	6.489968286	1.884763208	373326.9827	45231.86229	0.216407845	1.130485982	1.17077247	0.454545455	1	2
59	0.343475244	0.9879696	1089671.064	187859.0141	0.307480876	1.059349951	1.137163852	0.363636364	1	1
60	2.501804465	1.559768464	486305.5579	160494.0888	0.224856535	1.099274682	1.167564435	0.727272727	1	2
