	BrMin	BrFactor_ADAPT	PoyntingFluxPerBSi	LperpTimesSqrtBSi	StocasticExponent	nChromoSiAWSoM	rMinWaveReflection	realization	pfss	UseSurfaceWaveRefl
0	8.070142604	1.750417022	445660.8152	246107.6357	0.152450354	4.561218E+17	1.170932813	0.545454545	1	1
1	3.768027266	0.852264308	916743.4929	122003.9471	0.241128422	4.180582E+18	1.15237533	0.272727273	1	2
2	6.963600724	1.108667837	849671.1848	30519.25922	0.164363441	2.396476E+18	1.196836308	0.818181818	1	1
3	9.786002587	0.663890855	627477.0748	281445.0651	0.127047291	1.578530E+18	1.152832013	0.727272727	1	1
4	1.590428385	1.42413834	307670.4156	225304.8284	0.294030511	4.567323E+18	1.102447891	0.363636364	1	2
5	4.732412752	2.306532964	488423.4508	48086.69027	0.1115764	4.881230E+18	1.161236658	0.818181818	1	2
6	6.682866209	2.085988809	571741.7916	104238.7635	0.308563829	1.864312E+18	1.15040052	0.181818182	1	1
7	0.233543406	0.787219736	891238.3391	263872.8247	0.219109452	2.621659E+18	1.175959154	0.090909091	1	2
8	3.016910783	1.21947951	681613.284	84484.46251	0.136983274	3.753640E+18	1.072842201	0.272727273	1	1
9	6.212331965	1.003022277	351995.2234	136447.176	0.330024691	7.424349E+17	1.169549707	0.090909091	1	1
10	7.570067651	0.940333215	747942.7254	97154.99414	0.298698765	3.318256E+18	1.093462246	0.181818182	1	2
11	4.341646542	1.662345906	614262.3482	203434.5751	0.207376769	2.593722E+18	1.119538505	0	1	1
12	7.386461371	2.458586686	344322.9375	286505.9793	0.250615024	4.376802E+18	1.185785377	0.909090909	1	2
13	0.78028792	1.156660695	1018478.755	140651.3887	0.101746698	3.341508E+17	1.123453753	0.272727273	1	1
14	3.563326197	0.581093181	408669.8372	172381.7852	0.184033553	1.316150E+18	1.155343821	0.272727273	1	2
15	5.353106672	1.372983367	526471.5154	251197.9117	0.230825975	3.104943E+18	1.083836488	0.272727273	1	2
16	4.627243008	1.496451425	792191.7578	268807.2306	0.317827114	1.743074E+18	1.195108103	0.545454545	1	1
17	6.417175788	0.736070022	1072642.948	221067.4031	0.154813188	4.758966E+18	1.102084033	0.181818182	1	2
18	0.41652814	2.137136572	390548.7908	79522.16752	0.24535876	1.001694E+18	1.159170086	0.454545455	1	1
19	9.23930577	1.307543416	450208.5302	126236.9991	0.191910071	4.091039E+18	1.109828719	0.272727273	1	1
20	2.449372543	1.051005982	583394.1195	43160.95199	0.265144296	2.279834E+18	1.135841462	0.363636364	1	2
21	7.886477001	1.188782192	596044.7455	211937.2769	0.339821399	1.235433E+18	1.110978385	0.454545455	1	1
22	1.087390904	0.89869488	462564.6615	295539.5171	0.143014446	3.018366E+18	1.100655012	0.454545455	1	2
23	9.920830529	2.271748728	377900.3605	179824.1669	0.299588593	2.357749E+18	1.135981781	0.636363636	1	2
24	5.044858684	0.550009916	779931.6622	100230.7196	0.257210905	4.175052E+17	1.177377326	0.545454545	1	1
25	4.935757723	0.69865034	538828.4126	149443.6491	0.284117733	3.860614E+18	1.076321852	0.363636364	1	2
