,BrFactor_ADAPT,nChromoSi_AWSoM,PoyntingFluxPerBSi,LperpTimesSqrtBSi,StochasticExponent,BrMin,rMinWaveReflection,REALIZATIONS_ADAPT,PFSS,UseSurfaceWaveRefl
1,0.545294118,1.129410E+18,639215.6863,213308.8235,0.29,5.477941176,1.101470588,0.181818182,1,1
2,0.555882353,4.988240E+18,776470.5882,245073.5294,0.220588235,7.120098039,1.094607843,0,1,2
3,0.566470588,2.023530E+18,866666.6667,186838.2353,0.31,8.00245098,1.075,0.818181818,1,1
4,0.577058824,4.000000E+18,384313.7255,108750,0.295882353,5.183823529,1.057352941,0.363636364,1,2
5,0.587647059,2.541180E+18,450980.3922,148455.8824,0.205294118,5.526960784,1.131862745,0.818181818,1,1
6,0.598235294,1.576470E+18,831372.549,115367.6471,0.194705882,6.75245098,1.00245098,0,1,2
7,0.608823529,3.364710E+18,674509.8039,235808.8235,0.162941176,7.806372549,1.025,0.363636364,1,1
8,0.619411765,7.058820E+17,560784.3137,61102.94118,0.218235294,6.360294118,1.034803922,0.454545455,1,2
9,0.63,1.694120E+18,764705.8824,291397.0588,0.239411765,8.81127451,1.065196078,0.272727273,1,1
10,2.588823529,4.070590E+18,454901.9608,196102.9412,0.192352941,9.595588235,1.199509804,0.818181818,1,2
11,1.932352941,3.058820E+18,976470.5882,181544.1176,0.327647059,7.169117647,1.15245098,0,1,1
12,0.725294118,1.223530E+18,501960.7843,116691.1765,0.253529412,7.659313725,1.172058824,0.818181818,1,2
13,0.672352941,1.647060E+18,321568.6275,201397.0588,0.152352941,6.115196078,1.115196078,0.454545455,1,1
14,0.682941176,5.647060E+17,603921.5686,91544.11765,0.100588235,8.737745098,1.155392157,0.090909091,1,2
15,0.693529412,3.647060E+18,788235.2941,45220.58824,0.258235294,6.801470588,1.104411765,0.545454545,1,1
16,0.704117647,2.400000E+18,858823.5294,209338.2353,0.114705882,9.424019608,1.136764706,0.727272727,1,2
17,0.714705882,4.329410E+18,580392.1569,286102.9412,0.108823529,6.531862745,1.012254902,0.090909091,1,1
18,0.651176471,2.941180E+18,1039215.686,135220.5882,0.252352941,8.492647059,1.022058824,0.454545455,1,2
19,0.735882353,4.752940E+18,1058823.529,180220.5882,0.288823529,9.007352941,1.19754902,0.636363636,1,1
20,0.746470588,4.588240E+18,509803.9216,53161.76471,0.227647059,8.762254902,1.001470588,1,1,2
21,0.767647059,6.823530E+17,505882.3529,255661.7647,0.126470588,7.218137255,1.075980392,0.181818182,1,1
22,0.799411765,3.388240E+18,427450.9804,294044.1176,0.261764706,5.870098039,1.163235294,0.181818182,1,2
