count,year,mo,dy,hr,mn,sc,Rho,V_tot,Temperature,B_tot
0.0,2018.0,8.0,26.0,22.0,0.0,0.0,3.5,522.0,172694.0,5.5
1.0,2018.0,8.0,26.0,23.0,0.0,0.0,2.5999999046,537.0,125102.0,5.6999998093
2.0,2018.0,8.0,27.0,0.0,0.0,0.0,2.7000000477,530.0,133127.0,5.5
3.0,2018.0,8.0,27.0,1.0,0.0,0.0,2.7000000477,541.0,146859.0,5.6999998093
4.0,2018.0,8.0,27.0,2.0,0.0,0.0,2.0999999046,521.0,114462.0,5.5999999046
5.0,2018.0,8.0,27.0,3.0,0.0,0.0,2.2000000477,529.0,121033.0,5.5
6.0,2018.0,8.0,27.0,4.0,0.0,0.0,2.7999999523,548.0,197308.0,4.6999998093
7.0,2018.0,8.0,27.0,5.0,0.0,0.0,3.0,556.0,208836.0,4.0999999046
8.0,2018.0,8.0,27.0,6.0,0.0,0.0,3.0,569.0,197457.0,4.3000001907
9.0,2018.0,8.0,27.0,7.0,0.0,0.0,3.0,573.0,195641.0,3.9000000954
10.0,2018.0,8.0,27.0,8.0,0.0,0.0,3.0999999046,564.0,177980.0,4.0
11.0,2018.0,8.0,27.0,9.0,0.0,0.0,2.9000000954,550.0,162713.0,4.4000000954
12.0,2018.0,8.0,27.0,10.0,0.0,0.0,2.9000000954,538.0,172717.0,4.5999999046
13.0,2018.0,8.0,27.0,11.0,0.0,0.0,2.7000000477,538.0,139997.0,5.4000000954
14.0,2018.0,8.0,27.0,12.0,0.0,0.0,2.5999999046,528.0,142965.0,5.5999999046
15.0,2018.0,8.0,27.0,13.0,0.0,0.0,3.7000000477,550.0,148064.0,5.1999998093
16.0,2018.0,8.0,27.0,14.0,0.0,0.0,4.0,550.0,140866.0,6.0999999046
17.0,2018.0,8.0,27.0,15.0,0.0,0.0,4.4000000954,544.0,165227.0,5.5999999046
18.0,2018.0,8.0,27.0,16.0,0.0,0.0,3.7000000477,552.0,176435.0,6.3000001907
19.0,2018.0,8.0,27.0,17.0,0.0,0.0,3.9000000954,619.0,243158.0,5.1999998093
20.0,2018.0,8.0,27.0,18.0,0.0,0.0,3.4000000954,616.0,254103.0,5.1999998093
21.0,2018.0,8.0,27.0,19.0,0.0,0.0,3.2999999523,617.0,258593.0,4.1999998093
22.0,2018.0,8.0,27.0,20.0,0.0,0.0,3.0999999046,606.0,231949.0,4.0
23.0,2018.0,8.0,27.0,21.0,0.0,0.0,2.7999999523,603.0,206530.0,4.4000000954
24.0,2018.0,8.0,27.0,22.0,0.0,0.0,2.5999999046,587.0,175107.0,4.5999999046
25.0,2018.0,8.0,27.0,23.0,0.0,0.0,2.7000000477,582.0,153403.0,4.5
26.0,2018.0,8.0,28.0,0.0,0.0,0.0,3.4000000954,573.0,170719.0,3.4000000954
