qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2208,AWSoM,1,82.11299323591435,48,0.2,0.8
Ur,GONG2208,AWSoM,2,131.8451537866648,48,0.2,0.8
Ur,GONG2208,AWSoM,3,75.53481368862539,-20,0.2,0.8
Ur,GONG2208,AWSoM,4,146.7312167353503,48,0.2,0.8
Ur,GONG2208,AWSoM,5,247.56203009848647,48,0.2,0.8
Ur,GONG2208,AWSoM,6,72.12397767328663,-29,0.2,0.8
Ur,ADAPT2208,AWSoM,1,91.18411933755714,-48,0.2,0.8
Ur,ADAPT2208,AWSoM,2,76.84002492677497,14,0.2,0.8
Ur,ADAPT2208,AWSoM,3,83.38738990255054,1,0.2,0.8
Ur,ADAPT2208,AWSoM,4,84.03240057839389,-24,0.2,0.8
Ur,ADAPT2208,AWSoM,5,90.94636672941536,-42,0.2,0.8
Ur,ADAPT2208,AWSoM,6,95.30987395524056,-36,0.2,0.8
Ur,GONG2209,AWSoM,1,203.79942019460307,48,0.2,0.8
Ur,GONG2209,AWSoM,2,172.69698966904747,48,0.2,0.8
Ur,GONG2209,AWSoM,3,81.33874097932673,37,0.2,0.8
Ur,GONG2209,AWSoM,4,101.38663709926577,42,0.2,0.8
Ur,GONG2209,AWSoM,5,161.75300183697195,48,0.2,0.8
Ur,GONG2209,AWSoM,6,96.7456397700053,13,0.2,0.8
Ur,ADAPT2209,AWSoM,1,117.21753583956908,29,0.2,0.8
Ur,ADAPT2209,AWSoM,2,112.52807209387946,-11,0.2,0.8
Ur,ADAPT2209,AWSoM,3,90.99271639829955,-14,0.2,0.8
Ur,ADAPT2209,AWSoM,4,129.74890191108437,21,0.2,0.8
Ur,ADAPT2209,AWSoM,5,78.85564383692628,-8,0.2,0.8
Ur,ADAPT2209,AWSoM,6,105.87248993850783,-48,0.2,0.8
Ur,GONG2152,AWSoM,1,56.957166615635906,-26,0.2,0.8
Ur,GONG2152,AWSoM,2,76.67922541622733,-48,0.2,0.8
Ur,GONG2152,AWSoM,3,82.29725492275821,1,0.2,0.8
Ur,GONG2152,AWSoM,4,99.43082488200461,-48,0.2,0.8
Ur,GONG2152,AWSoM,5,90.42982611331279,48,0.2,0.8
Ur,GONG2152,AWSoM,6,59.096906264265584,48,0.2,0.8
Ur,ADAPT2152,AWSoM,1,83.53922505055176,-48,0.2,0.8
Ur,ADAPT2152,AWSoM,2,80.70042207070611,-30,0.2,0.8
Ur,ADAPT2152,AWSoM,3,76.0221695670695,24,0.2,0.8
Ur,ADAPT2152,AWSoM,4,61.522120933146255,-48,0.2,0.8
Ur,ADAPT2152,AWSoM,5,85.69577801738247,-48,0.2,0.8
Ur,ADAPT2152,AWSoM,6,112.79294090748753,48,0.2,0.8
Ur,GONG2154,AWSoM,1,86.84126072748595,48,0.2,0.8
Ur,GONG2154,AWSoM,2,46.64644428574238,-48,0.2,0.8
