qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2208,AWSoM,1,91.71115337992492,25,0.2,0.8
Ur,GONG2208,AWSoM,2,150.86220802520216,22,0.2,0.8
Ur,GONG2208,AWSoM,3,76.34737597456802,-11,0.2,0.8
Ur,GONG2208,AWSoM,4,153.99497694669225,48,0.2,0.8
Ur,GONG2208,AWSoM,5,261.284434010207,2,0.2,0.8
Ur,GONG2208,AWSoM,6,76.10161360997655,-12,0.2,0.8
Ur,ADAPT2208,AWSoM,1,109.81186314030091,-47,0.2,0.8
Ur,ADAPT2208,AWSoM,2,77.05399733171788,13,0.2,0.8
Ur,ADAPT2208,AWSoM,3,83.3948861421378,0,0.2,0.8
Ur,ADAPT2208,AWSoM,4,85.53042018189552,-8,0.2,0.8
Ur,ADAPT2208,AWSoM,5,107.64327616505109,-2,0.2,0.8
Ur,ADAPT2208,AWSoM,6,107.90391673401261,-3,0.2,0.8
Ur,GONG2209,AWSoM,1,209.2922291765367,48,0.2,0.8
Ur,GONG2209,AWSoM,2,235.83602646895937,44,0.2,0.8
Ur,GONG2209,AWSoM,3,95.40342978025679,20,0.2,0.8
Ur,GONG2209,AWSoM,4,115.367445051518,24,0.2,0.8
Ur,GONG2209,AWSoM,5,174.19929658669813,48,0.2,0.8
Ur,GONG2209,AWSoM,6,96.99161205420069,8,0.2,0.8
Ur,ADAPT2209,AWSoM,1,123.0508472323024,4,0.2,0.8
Ur,ADAPT2209,AWSoM,2,115.63468593702294,-5,0.2,0.8
Ur,ADAPT2209,AWSoM,3,91.83648605502503,-6,0.2,0.8
Ur,ADAPT2209,AWSoM,4,134.37516405951314,5,0.2,0.8
Ur,ADAPT2209,AWSoM,5,81.36931301155106,-6,0.2,0.8
Ur,ADAPT2209,AWSoM,6,138.64482877547707,-10,0.2,0.8
Ur,GONG2152,AWSoM,1,60.34284249569848,-5,0.2,0.8
Ur,GONG2152,AWSoM,2,82.658259131763,-4,0.2,0.8
Ur,GONG2152,AWSoM,3,82.29768845902747,0,0.2,0.8
Ur,GONG2152,AWSoM,4,100.91205507044765,-38,0.2,0.8
Ur,GONG2152,AWSoM,5,100.09652347789121,0,0.2,0.8
Ur,GONG2152,AWSoM,6,64.66792720883788,1,0.2,0.8
Ur,ADAPT2152,AWSoM,1,93.31348489815002,-7,0.2,0.8
Ur,ADAPT2152,AWSoM,2,86.7381000524467,-2,0.2,0.8
Ur,ADAPT2152,AWSoM,3,77.7899798301545,1,0.2,0.8
Ur,ADAPT2152,AWSoM,4,64.14359468243225,-5,0.2,0.8
Ur,ADAPT2152,AWSoM,5,98.22307687126188,-9,0.2,0.8
Ur,ADAPT2152,AWSoM,6,115.3518334905906,3,0.2,0.8
Ur,GONG2154,AWSoM,1,89.10846261164428,2,0.2,0.8
Ur,GONG2154,AWSoM,2,50.24026025804174,-2,0.2,0.8
Ur,GONG2154,AWSoM,3,112.52722122506434,-4,0.2,0.8
Ur,GONG2154,AWSoM,4,49.198614913561364,1,0.2,0.8
Ur,GONG2154,AWSoM,5,101.74436487319102,-17,0.2,0.8
Ur,GONG2154,AWSoM,6,42.95512874736781,-1,0.2,0.8
Ur,ADAPT2154,AWSoM,1,168.61182174375284,0,0.2,0.8
Ur,ADAPT2154,AWSoM,2,163.49204279556122,0,0.2,0.8
Ur,ADAPT2154,AWSoM,3,191.2456022866982,0,0.2,0.8
Ur,ADAPT2154,AWSoM,4,162.89734811249386,1,0.2,0.8
Ur,ADAPT2154,AWSoM,5,171.05386945468732,1,0.2,0.8
Ur,ADAPT2154,AWSoM,6,157.81809008247654,-1,0.2,0.8
Ur,GONG2208,AWSoMR,1,82.46295744695126,38,0.2,0.8
Ur,GONG2208,AWSoMR,2,118.80326497928624,27,0.2,0.8
Ur,GONG2208,AWSoMR,3,117.04705578001217,11,0.2,0.8
Ur,GONG2208,AWSoMR,4,135.77826537306973,13,0.2,0.8
Ur,GONG2208,AWSoMR,5,82.7329268896681,-6,0.2,0.8
Ur,GONG2208,AWSoMR,6,85.49680603286704,26,0.2,0.8
Ur,ADAPT2208,AWSoMR,1,138.4200286798355,-21,0.2,0.8
Ur,ADAPT2208,AWSoMR,2,85.58000876987313,6,0.2,0.8
Ur,ADAPT2208,AWSoMR,3,92.45172038914515,-48,0.2,0.8
Ur,ADAPT2208,AWSoMR,4,106.28441065492066,-41,0.2,0.8
Ur,ADAPT2208,AWSoMR,5,119.35521152817846,-17,0.2,0.8
Ur,ADAPT2208,AWSoMR,6,104.14993837209957,-4,0.2,0.8
Ur,GONG2209,AWSoMR,1,128.41265614374277,14,0.2,0.8
Ur,GONG2209,AWSoMR,2,149.46184800864438,48,0.2,0.8
Ur,GONG2209,AWSoMR,3,169.8529609473312,48,0.2,0.8
Ur,GONG2209,AWSoMR,4,150.87487674586257,15,0.2,0.8
Ur,GONG2209,AWSoMR,5,97.37730005990394,11,0.2,0.8
Ur,GONG2209,AWSoMR,6,227.67239010879817,27,0.2,0.8
Ur,ADAPT2209,AWSoMR,1,162.13042360951735,13,0.2,0.8
Ur,ADAPT2209,AWSoMR,2,95.86639527452176,-7,0.2,0.8
Ur,ADAPT2209,AWSoMR,3,95.84571776002778,13,0.2,0.8
Ur,ADAPT2209,AWSoMR,4,130.7386052183965,-11,0.2,0.8
Ur,ADAPT2209,AWSoMR,5,114.56640931438099,-2,0.2,0.8
Ur,ADAPT2209,AWSoMR,6,112.92367565017173,5,0.2,0.8
Ur,GONG2152,AWSoMR,1,107.70115237880626,-1,0.2,0.8
Ur,GONG2152,AWSoMR,2,105.02486598022081,3,0.2,0.8
Ur,GONG2152,AWSoMR,3,101.62170817029677,8,0.2,0.8
Ur,GONG2152,AWSoMR,4,101.62602347107944,0,0.2,0.8
Ur,GONG2152,AWSoMR,5,102.89158127828102,7,0.2,0.8
Ur,GONG2152,AWSoMR,6,73.90105690666704,-7,0.2,0.8
Ur,ADAPT2152,AWSoMR,1,230.0396514651925,12,0.2,0.8
Ur,ADAPT2152,AWSoMR,2,126.54089141291938,12,0.2,0.8
Ur,ADAPT2152,AWSoMR,3,1279.6166990162278,-30,0.2,0.8
Ur,ADAPT2152,AWSoMR,6,143.65711297104988,6,0.2,0.8
Ur,GONG2154,AWSoMR,1,41.25736146220501,2,0.2,0.8
Ur,GONG2154,AWSoMR,2,39.67506448578429,0,0.2,0.8
Ur,GONG2154,AWSoMR,3,107.18537104798828,10,0.2,0.8
Ur,GONG2154,AWSoMR,4,105.17323767198297,8,0.2,0.8
Ur,GONG2154,AWSoMR,5,83.48706804827256,43,0.2,0.8
Ur,GONG2154,AWSoMR,6,111.60960959240747,-9,0.2,0.8
Ur,ADAPT2154,AWSoMR,1,484.22195750822397,-5,0.2,0.8
Ur,ADAPT2154,AWSoMR,2,244.38111977897833,1,0.2,0.8
Ur,ADAPT2154,AWSoMR,3,229.0863657855007,-3,0.2,0.8
Ur,ADAPT2154,AWSoMR,4,245.3163966992033,2,0.2,0.8
Ur,ADAPT2154,AWSoMR,5,244.59037216255055,1,0.2,0.8
Ur,ADAPT2154,AWSoMR,6,156.4129270081482,-3,0.2,0.8
Np,GONG2208,AWSoM,1,17.214663838421288,25,0.2,0.8
Np,GONG2208,AWSoM,2,9.08473013596039,22,0.2,0.8
Np,GONG2208,AWSoM,3,5.079142971206193,-11,0.2,0.8
