qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2208,AWSoM,1,82.03787686836854,48,0.2,0.8
Ur,GONG2208,AWSoM,2,131.74185092056496,48,0.2,0.8
Ur,GONG2208,AWSoM,3,75.52436419726405,-20,0.2,0.8
Ur,GONG2208,AWSoM,4,146.6915807661536,48,0.2,0.8
Ur,GONG2208,AWSoM,5,247.38243900945352,48,0.2,0.8
Ur,GONG2208,AWSoM,6,72.09181227709205,-29,0.2,0.8
Ur,ADAPT2208,AWSoM,1,91.09438413956283,-48,0.2,0.8
Ur,ADAPT2208,AWSoM,2,76.83650909135497,14,0.2,0.8
Ur,ADAPT2208,AWSoM,3,83.38738410550903,1,0.2,0.8
Ur,ADAPT2208,AWSoM,4,84.02159166841781,-24,0.2,0.8
Ur,ADAPT2208,AWSoM,5,90.85404662518107,-42,0.2,0.8
Ur,ADAPT2208,AWSoM,6,95.23665509996594,-36,0.2,0.8
Ur,GONG2209,AWSoM,1,203.77479888487713,48,0.2,0.8
Ur,GONG2209,AWSoM,2,172.56632903363086,48,0.2,0.8
Ur,GONG2209,AWSoM,3,81.25903163486365,37,0.2,0.8
Ur,GONG2209,AWSoM,4,101.19617992965362,42,0.2,0.8
Ur,GONG2209,AWSoM,5,161.68748941792217,48,0.2,0.8
Ur,GONG2209,AWSoM,6,96.74172365555295,13,0.2,0.8
Ur,ADAPT2209,AWSoM,1,117.14987328475816,29,0.2,0.8
Ur,ADAPT2209,AWSoM,2,112.51754292530276,-11,0.2,0.8
Ur,ADAPT2209,AWSoM,3,90.9846998325972,-14,0.2,0.8
Ur,ADAPT2209,AWSoM,4,129.73068549354812,21,0.2,0.8
Ur,ADAPT2209,AWSoM,5,78.84930766958358,-8,0.2,0.8
Ur,ADAPT2209,AWSoM,6,105.73629607937553,-48,0.2,0.8
Ur,GONG2152,AWSoM,1,56.911411057414064,-27,0.2,0.8
Ur,GONG2152,AWSoM,2,76.25895676093681,-48,0.2,0.8
Ur,GONG2152,AWSoM,3,82.29695595785299,1,0.2,0.8
Ur,GONG2152,AWSoM,4,99.39806002152525,-48,0.2,0.8
Ur,GONG2152,AWSoM,5,89.9420225623179,48,0.2,0.8
Ur,GONG2152,AWSoM,6,58.67858204913122,48,0.2,0.8
Ur,ADAPT2152,AWSoM,1,83.38788955190851,-48,0.2,0.8
Ur,ADAPT2152,AWSoM,2,80.5613206717332,-30,0.2,0.8
Ur,ADAPT2152,AWSoM,3,75.95349387833305,24,0.2,0.8
Ur,ADAPT2152,AWSoM,4,61.27500589691451,-48,0.2,0.8
Ur,ADAPT2152,AWSoM,5,85.49919906950491,-48,0.2,0.8
Ur,ADAPT2152,AWSoM,6,112.72698719389867,48,0.2,0.8
Ur,GONG2154,AWSoM,1,86.73903757983453,48,0.2,0.8
Ur,GONG2154,AWSoM,2,46.386772757363865,-48,0.2,0.8
Ur,GONG2154,AWSoM,3,94.67714955035623,-48,0.2,0.8
Ur,GONG2154,AWSoM,4,49.190683026316485,2,0.2,0.8
Ur,GONG2154,AWSoM,5,90.43405795333148,-48,0.2,0.8
Ur,GONG2154,AWSoM,6,41.899058739748185,-13,0.2,0.8
Ur,ADAPT2154,AWSoM,1,168.2047474489197,8,0.2,0.8
Ur,ADAPT2154,AWSoM,2,155.24955450695055,-48,0.2,0.8
Ur,ADAPT2154,AWSoM,3,180.7387439000176,-48,0.2,0.8
Ur,ADAPT2154,AWSoM,4,161.66466194179011,14,0.2,0.8
Ur,ADAPT2154,AWSoM,5,167.894557094958,25,0.2,0.8
Ur,ADAPT2154,AWSoM,6,156.64696038361257,48,0.2,0.8
