qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2208,AWSoM,1,88.19816555294105,41,0.2,0.8
Ur,GONG2208,AWSoM,2,144.61866262337207,31,0.2,0.8
Ur,GONG2208,AWSoM,3,76.10483040029708,-14,0.2,0.8
Ur,GONG2208,AWSoM,4,150.83399553434108,48,0.2,0.8
Ur,GONG2208,AWSoM,5,261.04597011014226,4,0.2,0.8
Ur,GONG2208,AWSoM,6,75.39604539551924,-15,0.2,0.8
Ur,ADAPT2208,AWSoM,1,101.56706475390357,-48,0.2,0.8
Ur,ADAPT2208,AWSoM,2,76.94240022800119,14,0.2,0.8
Ur,ADAPT2208,AWSoM,3,83.39435616750623,1,0.2,0.8
Ur,ADAPT2208,AWSoM,4,85.36021184017515,-10,0.2,0.8
Ur,ADAPT2208,AWSoM,5,105.33946517955582,-28,0.2,0.8
Ur,ADAPT2208,AWSoM,6,105.77610934082267,-24,0.2,0.8
Ur,GONG2209,AWSoM,1,207.2144493901079,48,0.2,0.8
Ur,GONG2209,AWSoM,2,209.55117740947813,47,0.2,0.8
Ur,GONG2209,AWSoM,3,91.15390484403983,26,0.2,0.8
Ur,GONG2209,AWSoM,4,107.46143400010249,37,0.2,0.8
Ur,GONG2209,AWSoM,5,167.4298591592696,48,0.2,0.8
Ur,GONG2209,AWSoM,6,96.87887416780514,11,0.2,0.8
Ur,ADAPT2209,AWSoM,1,122.4218123972776,8,0.2,0.8
Ur,ADAPT2209,AWSoM,2,114.66707905913215,-7,0.2,0.8
Ur,ADAPT2209,AWSoM,3,91.56446309359785,-9,0.2,0.8
Ur,ADAPT2209,AWSoM,4,133.98262389075268,6,0.2,0.8
Ur,ADAPT2209,AWSoM,5,80.4361442602921,-7,0.2,0.8
Ur,ADAPT2209,AWSoM,6,135.52604564205143,-29,0.2,0.8
Ur,GONG2152,AWSoM,1,59.98417776794745,-8,0.2,0.8
Ur,GONG2152,AWSoM,2,80.97307857945616,-20,0.2,0.8
Ur,GONG2152,AWSoM,3,82.29768845902747,0,0.2,0.8
Ur,GONG2152,AWSoM,4,100.17377791616795,-48,0.2,0.8
Ur,GONG2152,AWSoM,5,100.08337366892204,1,0.2,0.8
Ur,GONG2152,AWSoM,6,64.09368121856905,6,0.2,0.8
Ur,ADAPT2152,AWSoM,1,92.7592292155109,-12,0.2,0.8
Ur,ADAPT2152,AWSoM,2,86.29850502293932,-4,0.2,0.8
Ur,ADAPT2152,AWSoM,3,77.73005816094111,3,0.2,0.8
Ur,ADAPT2152,AWSoM,4,63.74810312652366,-9,0.2,0.8
Ur,ADAPT2152,AWSoM,5,97.37690914603827,-14,0.2,0.8
Ur,ADAPT2152,AWSoM,6,115.27647015747974,7,0.2,0.8
Ur,GONG2154,AWSoM,1,89.07762906408236,4,0.2,0.8
Ur,GONG2154,AWSoM,2,50.09384686226061,-5,0.2,0.8
Ur,GONG2154,AWSoM,3,105.18853644251136,-31,0.2,0.8
Ur,GONG2154,AWSoM,4,49.194435296629614,1,0.2,0.8
Ur,GONG2154,AWSoM,5,100.54727965842117,-23,0.2,0.8
Ur,GONG2154,AWSoM,6,42.847514252835666,-3,0.2,0.8
Ur,ADAPT2154,AWSoM,1,168.57493535695204,1,0.2,0.8
Ur,ADAPT2154,AWSoM,2,163.49204279556122,0,0.2,0.8
Ur,ADAPT2154,AWSoM,3,191.2110506397006,1,0.2,0.8
Ur,ADAPT2154,AWSoM,4,162.8558912277247,1,0.2,0.8
Ur,ADAPT2154,AWSoM,5,170.9964322589609,2,0.2,0.8
Ur,ADAPT2154,AWSoM,6,157.78656991667413,-1,0.2,0.8
Ur,GONG2208,AWSoMR,1,75.92145329659591,37,0.2,0.8
Ur,GONG2208,AWSoMR,2,117.44264417403124,28,0.2,0.8
Ur,GONG2208,AWSoMR,3,101.97282642835279,48,0.2,0.8
Ur,GONG2208,AWSoMR,4,128.3336484355715,21,0.2,0.8
Ur,GONG2208,AWSoMR,5,69.74298751689953,48,0.2,0.8
Ur,GONG2208,AWSoMR,6,82.2465560137628,35,0.2,0.8
Ur,ADAPT2208,AWSoMR,1,136.94762720875315,-26,0.2,0.8
Ur,ADAPT2208,AWSoMR,2,84.9483404556807,8,0.2,0.8
Ur,ADAPT2208,AWSoMR,3,90.61324505436701,-48,0.2,0.8
Ur,ADAPT2208,AWSoMR,4,97.58768017486378,-46,0.2,0.8
Ur,ADAPT2208,AWSoMR,5,117.19112908652626,-27,0.2,0.8
Ur,ADAPT2208,AWSoMR,6,104.02248086514237,-6,0.2,0.8
Ur,GONG2209,AWSoMR,1,124.93510124179153,20,0.2,0.8
Ur,GONG2209,AWSoMR,2,144.55262869338623,48,0.2,0.8
Ur,GONG2209,AWSoMR,3,164.12956482329358,48,0.2,0.8
Ur,GONG2209,AWSoMR,4,142.68930314834014,26,0.2,0.8
Ur,GONG2209,AWSoMR,5,95.93652043626126,15,0.2,0.8
Ur,GONG2209,AWSoMR,6,209.6545922670789,46,0.2,0.8
Ur,ADAPT2209,AWSoMR,1,159.5037089429712,15,0.2,0.8
Ur,ADAPT2209,AWSoMR,2,93.21004528970293,-12,0.2,0.8
Ur,ADAPT2209,AWSoMR,3,95.27313680527803,19,0.2,0.8
Ur,ADAPT2209,AWSoMR,4,125.8579306349347,-24,0.2,0.8
Ur,ADAPT2209,AWSoMR,5,114.54381297415871,-3,0.2,0.8
Ur,ADAPT2209,AWSoMR,6,112.75588818872528,8,0.2,0.8
Ur,GONG2152,AWSoMR,1,107.69374436989341,-2,0.2,0.8
Ur,GONG2152,AWSoMR,2,104.78201674801976,14,0.2,0.8
Ur,GONG2152,AWSoMR,3,101.21077176067699,16,0.2,0.8
Ur,GONG2152,AWSoMR,4,101.17551039004103,30,0.2,0.8
Ur,GONG2152,AWSoMR,5,101.11399644308919,37,0.2,0.8
Ur,GONG2152,AWSoMR,6,73.61609066323363,-9,0.2,0.8
Ur,ADAPT2152,AWSoMR,1,227.69337318081773,19,0.2,0.8
Ur,ADAPT2152,AWSoMR,2,126.04729067374628,17,0.2,0.8
Ur,ADAPT2152,AWSoMR,3,1273.7760472752316,-48,0.2,0.8
Ur,ADAPT2152,AWSoMR,6,143.47204431795515,9,0.2,0.8
Ur,GONG2154,AWSoMR,1,41.099045819985015,3,0.2,0.8
Ur,GONG2154,AWSoMR,2,39.67506448578429,0,0.2,0.8
Ur,GONG2154,AWSoMR,3,97.8598975558535,41,0.2,0.8
Ur,GONG2154,AWSoMR,4,104.10255966334076,18,0.2,0.8
Ur,GONG2154,AWSoMR,5,82.51770200364328,48,0.2,0.8
Ur,GONG2154,AWSoMR,6,111.50992746708881,-14,0.2,0.8
Ur,ADAPT2154,AWSoMR,1,483.8674629622529,-9,0.2,0.8
Ur,ADAPT2154,AWSoMR,2,244.3200261927184,1,0.2,0.8
Ur,ADAPT2154,AWSoMR,3,227.7671341914991,-7,0.2,0.8
Ur,ADAPT2154,AWSoMR,4,244.9014983852058,3,0.2,0.8
Ur,ADAPT2154,AWSoMR,5,244.30652571611256,3,0.2,0.8
Ur,ADAPT2154,AWSoMR,6,156.10263427551786,-5,0.2,0.8
Np,GONG2208,AWSoM,1,17.899421174994,41,0.2,0.8
Np,GONG2208,AWSoM,2,8.800235178081897,31,0.2,0.8
Np,GONG2208,AWSoM,3,5.090867928423785,-14,0.2,0.8
Np,GONG2208,AWSoM,4,10.31323699950607,48,0.2,0.8
Np,GONG2208,AWSoM,5,6.837962650052646,4,0.2,0.8
Np,GONG2208,AWSoM,6,20.781983313457218,-15,0.2,0.8
Np,ADAPT2208,AWSoM,1,48.692835732455556,-48,0.2,0.8
Np,ADAPT2208,AWSoM,2,4.580632974278212,14,0.2,0.8
Np,ADAPT2208,AWSoM,3,7.616835754967511,1,0.2,0.8
Np,ADAPT2208,AWSoM,4,6.289515130997138,-10,0.2,0.8
Np,ADAPT2208,AWSoM,5,6.264691459555904,-28,0.2,0.8
Np,ADAPT2208,AWSoM,6,4.9096974036257,-24,0.2,0.8
Np,GONG2209,AWSoM,1,5.595618593028183,48,0.2,0.8
Np,GONG2209,AWSoM,2,7.015181737845867,47,0.2,0.8
Np,GONG2209,AWSoM,3,15.446863904663843,26,0.2,0.8
Np,GONG2209,AWSoM,4,46.36825196484606,37,0.2,0.8
Np,GONG2209,AWSoM,5,8.982069174954152,48,0.2,0.8
Np,GONG2209,AWSoM,6,6.435110239946578,11,0.2,0.8
Np,ADAPT2209,AWSoM,1,19.562393351637912,8,0.2,0.8
Np,ADAPT2209,AWSoM,2,5.186239149996593,-7,0.2,0.8
Np,ADAPT2209,AWSoM,3,5.866910914796865,-9,0.2,0.8
Np,ADAPT2209,AWSoM,4,39.64666572556214,6,0.2,0.8
Np,ADAPT2209,AWSoM,5,5.1091101708096085,-7,0.2,0.8
Np,ADAPT2209,AWSoM,6,57.174725871345146,-29,0.2,0.8
Np,GONG2152,AWSoM,1,10.051591557747981,-8,0.2,0.8
Np,GONG2152,AWSoM,2,74.67070769110042,-20,0.2,0.8
Np,GONG2152,AWSoM,3,127.46315236875601,0,0.2,0.8
Np,GONG2152,AWSoM,4,22.84429152674431,-48,0.2,0.8
Np,GONG2152,AWSoM,5,54.86307101090423,1,0.2,0.8
Np,GONG2152,AWSoM,6,55.37706548682948,6,0.2,0.8
Np,ADAPT2152,AWSoM,1,76.50526503459291,-12,0.2,0.8
Np,ADAPT2152,AWSoM,2,180.3291706462498,-4,0.2,0.8
Np,ADAPT2152,AWSoM,3,57.96656988930777,3,0.2,0.8
Np,ADAPT2152,AWSoM,4,35.611586707092236,-9,0.2,0.8
Np,ADAPT2152,AWSoM,5,83.24780974658019,-14,0.2,0.8
Np,ADAPT2152,AWSoM,6,4.952994825566927,7,0.2,0.8
Np,GONG2154,AWSoM,1,103.12899609075617,4,0.2,0.8
Np,GONG2154,AWSoM,2,62.10777532383172,-5,0.2,0.8
Np,GONG2154,AWSoM,3,72.80269446000618,-31,0.2,0.8
Np,GONG2154,AWSoM,4,9.050276856725924,1,0.2,0.8
Np,GONG2154,AWSoM,5,15.162917054260955,-23,0.2,0.8
Np,GONG2154,AWSoM,6,100.97765986359936,-3,0.2,0.8
Np,ADAPT2154,AWSoM,1,103.95947993983096,1,0.2,0.8
Np,ADAPT2154,AWSoM,2,27.214702254218317,0,0.2,0.8
Np,ADAPT2154,AWSoM,3,9.550819571883274,1,0.2,0.8
Np,ADAPT2154,AWSoM,4,25.899223045403424,1,0.2,0.8
Np,ADAPT2154,AWSoM,5,32.503339132209476,2,0.2,0.8
Np,ADAPT2154,AWSoM,6,22.126314303831787,-1,0.2,0.8
Np,GONG2208,AWSoMR,1,9.537995257248467,37,0.2,0.8
Np,GONG2208,AWSoMR,2,5.072065333651469,28,0.2,0.8
Np,GONG2208,AWSoMR,3,25.92770014737008,48,0.2,0.8
Np,GONG2208,AWSoMR,4,8.966366958216918,21,0.2,0.8
Np,GONG2208,AWSoMR,5,10.675398666181717,48,0.2,0.8
Np,GONG2208,AWSoMR,6,21.00396905751615,35,0.2,0.8
Np,ADAPT2208,AWSoMR,1,56.082309669661065,-26,0.2,0.8
Np,ADAPT2208,AWSoMR,2,8.896774771305852,8,0.2,0.8
Np,ADAPT2208,AWSoMR,3,26.824316675576398,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,4,36.847874591387956,-46,0.2,0.8
Np,ADAPT2208,AWSoMR,5,38.2334598312493,-27,0.2,0.8
Np,ADAPT2208,AWSoMR,6,20.690701700885633,-6,0.2,0.8
Np,GONG2209,AWSoMR,1,32.4029308842578,20,0.2,0.8
Np,GONG2209,AWSoMR,2,8.29417556045016,48,0.2,0.8
Np,GONG2209,AWSoMR,3,5.798400986465133,48,0.2,0.8
Np,GONG2209,AWSoMR,4,10.025558841205948,26,0.2,0.8
Np,GONG2209,AWSoMR,5,16.445486604413606,15,0.2,0.8
Np,GONG2209,AWSoMR,6,7.371120691089859,46,0.2,0.8
Np,ADAPT2209,AWSoMR,1,5.93966410497269,15,0.2,0.8
Np,ADAPT2209,AWSoMR,2,6.185556745277157,-12,0.2,0.8
Np,ADAPT2209,AWSoMR,3,10.664882149541228,19,0.2,0.8
Np,ADAPT2209,AWSoMR,4,5.838826930071984,-24,0.2,0.8
Np,ADAPT2209,AWSoMR,5,5.566054366090196,-3,0.2,0.8
Np,ADAPT2209,AWSoMR,6,18.66596796246231,8,0.2,0.8
Np,GONG2152,AWSoMR,1,55.99346245387905,-2,0.2,0.8
Np,GONG2152,AWSoMR,2,25.685036453881793,14,0.2,0.8
Np,GONG2152,AWSoMR,3,17.128977482899028,16,0.2,0.8
Np,GONG2152,AWSoMR,4,35.81029805173816,30,0.2,0.8
Np,GONG2152,AWSoMR,5,53.42998241004371,37,0.2,0.8
Np,GONG2152,AWSoMR,6,57.446872292078396,-9,0.2,0.8
Np,ADAPT2152,AWSoMR,1,26628.278861866085,19,0.2,0.8
Np,ADAPT2152,AWSoMR,2,5.478276208308321,17,0.2,0.8
Np,ADAPT2152,AWSoMR,3,349831.67818733025,-48,0.2,0.8
Np,ADAPT2152,AWSoMR,6,35.85459531061104,9,0.2,0.8
Np,GONG2154,AWSoMR,1,26.498256123509606,3,0.2,0.8
Np,GONG2154,AWSoMR,2,7.095546724210871,0,0.2,0.8
Np,GONG2154,AWSoMR,3,59.93349650396163,41,0.2,0.8
Np,GONG2154,AWSoMR,4,10.43895245388936,18,0.2,0.8
Np,GONG2154,AWSoMR,5,130.5061158835142,48,0.2,0.8
Np,GONG2154,AWSoMR,6,15.22240738885728,-14,0.2,0.8
Np,ADAPT2154,AWSoMR,1,19995.944825644303,-9,0.2,0.8
Np,ADAPT2154,AWSoMR,2,13.829403128666,1,0.2,0.8
Np,ADAPT2154,AWSoMR,3,38.80305628577741,-7,0.2,0.8
Np,ADAPT2154,AWSoMR,4,24.238210322681084,3,0.2,0.8
Np,ADAPT2154,AWSoMR,5,32.29276493000305,3,0.2,0.8
Np,ADAPT2154,AWSoMR,6,6.646039531642535,-5,0.2,0.8
T,GONG2208,AWSoM,1,86870.16592926049,41,0.2,0.8
T,GONG2208,AWSoM,2,94672.37597066177,31,0.2,0.8
T,GONG2208,AWSoM,3,82659.29990798986,-14,0.2,0.8
T,GONG2208,AWSoM,4,142921.3466365939,48,0.2,0.8
T,GONG2208,AWSoM,5,149999.93435161395,4,0.2,0.8
T,GONG2208,AWSoM,6,90622.37407464594,-15,0.2,0.8
T,ADAPT2208,AWSoM,1,91036.39983820348,-48,0.2,0.8
T,ADAPT2208,AWSoM,2,68640.85375987696,14,0.2,0.8
T,ADAPT2208,AWSoM,3,72276.937398949,1,0.2,0.8
T,ADAPT2208,AWSoM,4,94183.14089009077,-10,0.2,0.8
T,ADAPT2208,AWSoM,5,85308.74877675112,-28,0.2,0.8
T,ADAPT2208,AWSoM,6,78774.7571948034,-24,0.2,0.8
T,GONG2209,AWSoM,1,136590.8149011057,48,0.2,0.8
T,GONG2209,AWSoM,2,156954.295228998,47,0.2,0.8
T,GONG2209,AWSoM,3,80483.27906012711,26,0.2,0.8
T,GONG2209,AWSoM,4,70844.81286420727,37,0.2,0.8
T,GONG2209,AWSoM,5,132091.5199426293,48,0.2,0.8
T,GONG2209,AWSoM,6,89390.59611856172,11,0.2,0.8
T,ADAPT2209,AWSoM,1,83851.33279672079,8,0.2,0.8
T,ADAPT2209,AWSoM,2,77700.59020516158,-7,0.2,0.8
T,ADAPT2209,AWSoM,3,88187.29438760597,-9,0.2,0.8
T,ADAPT2209,AWSoM,4,73819.97541416042,6,0.2,0.8
T,ADAPT2209,AWSoM,5,56450.586091201105,-7,0.2,0.8
T,ADAPT2209,AWSoM,6,82183.49415384067,-29,0.2,0.8
T,GONG2152,AWSoM,1,36563.103829636246,-8,0.2,0.8
T,GONG2152,AWSoM,2,27641.631409711976,-20,0.2,0.8
T,GONG2152,AWSoM,3,29035.466668047542,0,0.2,0.8
T,GONG2152,AWSoM,4,33125.39666438619,-48,0.2,0.8
T,GONG2152,AWSoM,5,26612.619100930104,1,0.2,0.8
T,GONG2152,AWSoM,6,27413.348509666394,6,0.2,0.8
T,ADAPT2152,AWSoM,1,43688.13134918435,-12,0.2,0.8
T,ADAPT2152,AWSoM,2,37829.90008113331,-4,0.2,0.8
T,ADAPT2152,AWSoM,3,46752.65963634377,3,0.2,0.8
T,ADAPT2152,AWSoM,4,45169.593521245246,-9,0.2,0.8
T,ADAPT2152,AWSoM,5,43882.949405957625,-14,0.2,0.8
T,ADAPT2152,AWSoM,6,51518.608932244664,7,0.2,0.8
T,GONG2154,AWSoM,1,55637.3601090683,4,0.2,0.8
T,GONG2154,AWSoM,2,53755.83407175789,-5,0.2,0.8
T,GONG2154,AWSoM,3,58069.90834755679,-31,0.2,0.8
T,GONG2154,AWSoM,4,59016.4479693877,1,0.2,0.8
T,GONG2154,AWSoM,5,61048.56700909049,-23,0.2,0.8
T,GONG2154,AWSoM,6,48867.47789026278,-3,0.2,0.8
T,ADAPT2154,AWSoM,1,94060.2934423516,1,0.2,0.8
T,ADAPT2154,AWSoM,2,98078.83288046203,0,0.2,0.8
T,ADAPT2154,AWSoM,3,97633.09506739108,1,0.2,0.8
T,ADAPT2154,AWSoM,4,97777.16377927674,1,0.2,0.8
T,ADAPT2154,AWSoM,5,99708.76363015962,2,0.2,0.8
T,ADAPT2154,AWSoM,6,100551.89240716078,-1,0.2,0.8
T,GONG2208,AWSoMR,1,85458.30693663818,37,0.2,0.8
T,GONG2208,AWSoMR,2,95097.68495794144,28,0.2,0.8
T,GONG2208,AWSoMR,3,91126.43216113468,48,0.2,0.8
T,GONG2208,AWSoMR,4,84060.15882110444,21,0.2,0.8
T,GONG2208,AWSoMR,5,87102.24396600573,48,0.2,0.8
T,GONG2208,AWSoMR,6,89324.86305213266,35,0.2,0.8
T,ADAPT2208,AWSoMR,1,96091.2147765131,-26,0.2,0.8
T,ADAPT2208,AWSoMR,2,81447.37184738462,8,0.2,0.8
T,ADAPT2208,AWSoMR,3,98038.66548007466,-48,0.2,0.8
T,ADAPT2208,AWSoMR,4,84692.45984125581,-46,0.2,0.8
T,ADAPT2208,AWSoMR,5,89747.3196291918,-27,0.2,0.8
T,ADAPT2208,AWSoMR,6,91136.44900917652,-6,0.2,0.8
T,GONG2209,AWSoMR,1,73054.71400353145,20,0.2,0.8
T,GONG2209,AWSoMR,2,90262.84240013348,48,0.2,0.8
T,GONG2209,AWSoMR,3,102622.45268009474,48,0.2,0.8
T,GONG2209,AWSoMR,4,68431.41173211104,26,0.2,0.8
T,GONG2209,AWSoMR,5,81886.66830622556,15,0.2,0.8
T,GONG2209,AWSoMR,6,80698.53359360328,46,0.2,0.8
T,ADAPT2209,AWSoMR,1,77436.87828644295,15,0.2,0.8
T,ADAPT2209,AWSoMR,2,94942.681661295,-12,0.2,0.8
T,ADAPT2209,AWSoMR,3,89321.26252693412,19,0.2,0.8
T,ADAPT2209,AWSoMR,4,93511.8221084652,-24,0.2,0.8
T,ADAPT2209,AWSoMR,5,92967.74909653574,-3,0.2,0.8
T,ADAPT2209,AWSoMR,6,92018.4641339572,8,0.2,0.8
T,GONG2152,AWSoMR,1,35003.31291543855,-2,0.2,0.8
T,GONG2152,AWSoMR,2,35903.17596890393,14,0.2,0.8
T,GONG2152,AWSoMR,3,36038.22744404311,16,0.2,0.8
T,GONG2152,AWSoMR,4,35998.988291392365,30,0.2,0.8
T,GONG2152,AWSoMR,5,36025.490252999996,37,0.2,0.8
T,GONG2152,AWSoMR,6,32610.642339474507,-9,0.2,0.8
T,ADAPT2152,AWSoMR,1,140254.18375580144,19,0.2,0.8
T,ADAPT2152,AWSoMR,2,51053.299959193944,17,0.2,0.8
T,ADAPT2152,AWSoMR,3,1.1771637617978442e6,-48,0.2,0.8
