qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2208,AWSoM,1,94.04927071022693,3,0.2,0.8
Ur,GONG2208,AWSoM,2,156.75441483583967,2,0.2,0.8
Ur,GONG2208,AWSoM,3,76.77766301224491,-6,0.2,0.8
Ur,GONG2208,AWSoM,4,235.19678482944835,2,0.2,0.8
Ur,GONG2208,AWSoM,5,261.4559015554413,0,0.2,0.8
Ur,GONG2208,AWSoM,6,77.13983172524387,-6,0.2,0.8
Ur,ADAPT2208,AWSoM,1,110.21828058902476,-1,0.2,0.8
Ur,ADAPT2208,AWSoM,2,78.68027247311826,4,0.2,0.8
Ur,ADAPT2208,AWSoM,3,83.3948861421378,0,0.2,0.8
Ur,ADAPT2208,AWSoM,4,86.0498065208285,-2,0.2,0.8
Ur,ADAPT2208,AWSoM,5,107.71764333325582,-1,0.2,0.8
Ur,ADAPT2208,AWSoM,6,108.10095786978155,-1,0.2,0.8
Ur,GONG2209,AWSoM,1,299.05798908991204,2,0.2,0.8
Ur,GONG2209,AWSoM,2,243.9146409920847,2,0.2,0.8
Ur,GONG2209,AWSoM,3,105.33780224361004,5,0.2,0.8
Ur,GONG2209,AWSoM,4,125.86780022281967,4,0.2,0.8
Ur,GONG2209,AWSoM,5,241.936193026577,2,0.2,0.8
Ur,GONG2209,AWSoM,6,97.12615860366009,4,0.2,0.8
Ur,ADAPT2209,AWSoM,1,123.30082816442442,2,0.2,0.8
Ur,ADAPT2209,AWSoM,2,117.0306271732728,-3,0.2,0.8
Ur,ADAPT2209,AWSoM,3,92.21915160064484,-3,0.2,0.8
Ur,ADAPT2209,AWSoM,4,135.2715345740246,2,0.2,0.8
Ur,ADAPT2209,AWSoM,5,83.34509547845101,-4,0.2,0.8
Ur,ADAPT2209,AWSoM,6,139.75452666632802,-2,0.2,0.8
Ur,GONG2152,AWSoM,1,60.79547379084501,-1,0.2,0.8
Ur,GONG2152,AWSoM,2,82.94564861630597,-2,0.2,0.8
Ur,GONG2152,AWSoM,3,82.29768845902747,0,0.2,0.8
Ur,GONG2152,AWSoM,4,103.01962763062306,-7,0.2,0.8
Ur,GONG2152,AWSoM,5,100.09652347789121,0,0.2,0.8
Ur,GONG2152,AWSoM,6,64.71563294780482,1,0.2,0.8
Ur,ADAPT2152,AWSoM,1,93.97507924784802,-1,0.2,0.8
Ur,ADAPT2152,AWSoM,2,86.85774427159572,-1,0.2,0.8
Ur,ADAPT2152,AWSoM,3,77.81284588148357,0,0.2,0.8
Ur,ADAPT2152,AWSoM,4,64.49824050945983,-2,0.2,0.8
Ur,ADAPT2152,AWSoM,5,99.33301108896131,-2,0.2,0.8
Ur,ADAPT2152,AWSoM,6,115.38326681847983,1,0.2,0.8
Ur,GONG2154,AWSoM,1,89.1195125680354,1,0.2,0.8
Ur,GONG2154,AWSoM,2,50.28288865246458,-2,0.2,0.8
Ur,GONG2154,AWSoM,3,112.6077664239922,-3,0.2,0.8
Ur,GONG2154,AWSoM,4,49.200161055120894,0,0.2,0.8
Ur,GONG2154,AWSoM,5,103.07975977785544,-4,0.2,0.8
Ur,GONG2154,AWSoM,6,43.00413373497744,-1,0.2,0.8
Ur,ADAPT2154,AWSoM,1,168.61182174375284,0,0.2,0.8
Ur,ADAPT2154,AWSoM,2,163.49204279556122,0,0.2,0.8
Ur,ADAPT2154,AWSoM,3,191.2456022866982,0,0.2,0.8
Ur,ADAPT2154,AWSoM,4,162.91263058211732,1,0.2,0.8
Ur,ADAPT2154,AWSoM,5,171.0747473829026,1,0.2,0.8
Ur,ADAPT2154,AWSoM,6,157.84831917744077,0,0.2,0.8
Ur,GONG2208,AWSoMR,1,94.86007802904712,2,0.2,0.8
Ur,GONG2208,AWSoMR,2,134.96944962735566,1,0.2,0.8
Ur,GONG2208,AWSoMR,3,117.49679029614083,5,0.2,0.8
Ur,GONG2208,AWSoMR,4,140.69094626596188,4,0.2,0.8
Ur,GONG2208,AWSoMR,5,83.08797018121899,-1,0.2,0.8
Ur,GONG2208,AWSoMR,6,93.76509361795522,10,0.2,0.8
Ur,ADAPT2208,AWSoMR,1,141.77672023371,-5,0.2,0.8
Ur,ADAPT2208,AWSoMR,2,86.34451490065268,1,0.2,0.8
Ur,ADAPT2208,AWSoMR,3,96.08432106431773,-5,0.2,0.8
Ur,ADAPT2208,AWSoMR,4,112.59938876432157,0,0.2,0.8
Ur,ADAPT2208,AWSoMR,5,120.47393415295653,-4,0.2,0.8
Ur,ADAPT2208,AWSoMR,6,104.30293783453061,-2,0.2,0.8
Ur,GONG2209,AWSoMR,1,132.91432856180583,5,0.2,0.8
Ur,GONG2209,AWSoMR,2,198.4896536289216,2,0.2,0.8
Ur,GONG2209,AWSoMR,3,229.31894687723457,1,0.2,0.8
Ur,GONG2209,AWSoMR,4,156.28447494498909,4,0.2,0.8
Ur,GONG2209,AWSoMR,5,100.65696640565956,4,0.2,0.8
Ur,GONG2209,AWSoMR,6,243.32107558150335,4,0.2,0.8
Ur,ADAPT2209,AWSoMR,1,169.4890636058646,4,0.2,0.8
Ur,ADAPT2209,AWSoMR,2,97.34699907079226,-2,0.2,0.8
Ur,ADAPT2209,AWSoMR,3,96.5711125486291,4,0.2,0.8
Ur,ADAPT2209,AWSoMR,4,135.0520554535065,-3,0.2,0.8
Ur,ADAPT2209,AWSoMR,5,114.6043624599949,-1,0.2,0.8
Ur,ADAPT2209,AWSoMR,6,113.16384846432425,3,0.2,0.8
Ur,GONG2152,AWSoMR,1,107.70434894025246,0,0.2,0.8
Ur,GONG2152,AWSoMR,2,105.06598231929073,2,0.2,0.8
Ur,GONG2152,AWSoMR,3,101.83828741124826,4,0.2,0.8
Ur,GONG2152,AWSoMR,4,101.62602347107944,0,0.2,0.8
Ur,GONG2152,AWSoMR,5,103.11851323266458,2,0.2,0.8
Ur,GONG2152,AWSoMR,6,74.79281106677695,-2,0.2,0.8
Ur,ADAPT2152,AWSoMR,1,231.22897300392725,6,0.2,0.8
Ur,ADAPT2152,AWSoMR,2,128.0122692235738,2,0.2,0.8
Ur,ADAPT2152,AWSoMR,3,1282.6961601029136,-12,0.2,0.8
Ur,ADAPT2152,AWSoMR,6,143.7872826125888,4,0.2,0.8
Ur,GONG2154,AWSoMR,1,41.359455475433805,1,0.2,0.8
Ur,GONG2154,AWSoMR,2,39.67506448578429,0,0.2,0.8
Ur,GONG2154,AWSoMR,3,108.70527965769814,2,0.2,0.8
Ur,GONG2154,AWSoMR,4,105.98613373216234,1,0.2,0.8
Ur,GONG2154,AWSoMR,5,90.67832444123772,6,0.2,0.8
Ur,GONG2154,AWSoMR,6,111.7302238107532,-5,0.2,0.8
Ur,ADAPT2154,AWSoMR,1,484.4099029895185,-2,0.2,0.8
Ur,ADAPT2154,AWSoMR,2,244.41352281199144,1,0.2,0.8
Ur,ADAPT2154,AWSoMR,3,229.37411705626354,-2,0.2,0.8
Ur,ADAPT2154,AWSoMR,4,245.42923935345817,1,0.2,0.8
Ur,ADAPT2154,AWSoMR,5,244.6278412590289,1,0.2,0.8
Ur,ADAPT2154,AWSoMR,6,156.5724971275891,-1,0.2,0.8
Np,GONG2208,AWSoM,1,17.068734558360482,3,0.2,0.8
Np,GONG2208,AWSoM,2,8.691736800518278,2,0.2,0.8
Np,GONG2208,AWSoM,3,5.066003863485982,-6,0.2,0.8
Np,GONG2208,AWSoM,4,11.095717520113313,2,0.2,0.8
Np,GONG2208,AWSoM,5,6.837896559087442,0,0.2,0.8
Np,GONG2208,AWSoM,6,21.123055078069154,-6,0.2,0.8
Np,ADAPT2208,AWSoM,1,46.88345056045401,-1,0.2,0.8
Np,ADAPT2208,AWSoM,2,4.693008503778432,4,0.2,0.8
Np,ADAPT2208,AWSoM,3,7.64690215774673,0,0.2,0.8
Np,ADAPT2208,AWSoM,4,6.164472240945548,-2,0.2,0.8
Np,ADAPT2208,AWSoM,5,6.957598095802887,-1,0.2,0.8
Np,ADAPT2208,AWSoM,6,5.384524220535231,-1,0.2,0.8
Np,GONG2209,AWSoM,1,6.553671569524374,2,0.2,0.8
Np,GONG2209,AWSoM,2,7.1861302314992015,2,0.2,0.8
Np,GONG2209,AWSoM,3,16.87734495942341,5,0.2,0.8
Np,GONG2209,AWSoM,4,46.88435390199959,4,0.2,0.8
Np,GONG2209,AWSoM,5,9.49780206850415,2,0.2,0.8
Np,GONG2209,AWSoM,6,6.642484557409373,4,0.2,0.8
Np,ADAPT2209,AWSoM,1,19.719434388378843,2,0.2,0.8
Np,ADAPT2209,AWSoM,2,5.061999308095226,-3,0.2,0.8
Np,ADAPT2209,AWSoM,3,5.901393320384425,-3,0.2,0.8
Np,ADAPT2209,AWSoM,4,39.912975748275684,2,0.2,0.8
Np,ADAPT2209,AWSoM,5,5.549375043649456,-4,0.2,0.8
Np,ADAPT2209,AWSoM,6,53.554413567177825,-2,0.2,0.8
Np,GONG2152,AWSoM,1,10.159631624659815,-1,0.2,0.8
Np,GONG2152,AWSoM,2,74.97304205497204,-2,0.2,0.8
Np,GONG2152,AWSoM,3,127.46315236875601,0,0.2,0.8
Np,GONG2152,AWSoM,4,23.197351323471757,-7,0.2,0.8
Np,GONG2152,AWSoM,5,54.79965834101758,0,0.2,0.8
Np,GONG2152,AWSoM,6,55.17053066698687,1,0.2,0.8
Np,ADAPT2152,AWSoM,1,76.84245991583207,-1,0.2,0.8
Np,ADAPT2152,AWSoM,2,181.1749214269322,-1,0.2,0.8
Np,ADAPT2152,AWSoM,3,57.81057247190387,0,0.2,0.8
Np,ADAPT2152,AWSoM,4,35.895301413482656,-2,0.2,0.8
Np,ADAPT2152,AWSoM,5,83.49977927311646,-2,0.2,0.8
Np,ADAPT2152,AWSoM,6,4.92810777621964,1,0.2,0.8
Np,GONG2154,AWSoM,1,103.2675301801992,1,0.2,0.8
Np,GONG2154,AWSoM,2,62.08559701794564,-2,0.2,0.8
Np,GONG2154,AWSoM,3,70.76356177922757,-3,0.2,0.8
Np,GONG2154,AWSoM,4,9.084123172017478,0,0.2,0.8
Np,GONG2154,AWSoM,5,14.270987019296577,-4,0.2,0.8
Np,GONG2154,AWSoM,6,101.0159025460656,-1,0.2,0.8
Np,ADAPT2154,AWSoM,1,104.01432337029372,0,0.2,0.8
Np,ADAPT2154,AWSoM,2,27.214702254218317,0,0.2,0.8
Np,ADAPT2154,AWSoM,3,9.604805457775445,0,0.2,0.8
Np,ADAPT2154,AWSoM,4,25.942330054196,1,0.2,0.8
Np,ADAPT2154,AWSoM,5,32.64280016181654,1,0.2,0.8
