qoi,mapCR,model,run,metric,shift,Tmin,Tmax
Ur,GONG2208,AWSoM,1,88.23513734634497,43,0.2,0.8
Ur,GONG2208,AWSoM,2,152.2493095061003,19,0.2,0.8
Ur,GONG2208,AWSoM,3,75.93027328193392,-15,0.2,0.8
Ur,GONG2208,AWSoM,4,204.58474521765027,48,0.2,0.8
Ur,GONG2208,AWSoM,5,261.2144198671896,3,0.2,0.8
Ur,GONG2208,AWSoM,6,74.26508428961064,-24,0.2,0.8
Ur,ADAPT2208,AWSoM,1,106.42296225345284,-48,0.2,0.8
Ur,ADAPT2208,AWSoM,2,77.52791670822491,11,0.2,0.8
Ur,ADAPT2208,AWSoM,3,83.39143524858981,1,0.2,0.8
Ur,ADAPT2208,AWSoM,4,85.31851197886103,-11,0.2,0.8
Ur,ADAPT2208,AWSoM,5,104.71990373900967,-28,0.2,0.8
Ur,ADAPT2208,AWSoM,6,105.14527987760593,-23,0.2,0.8
Ur,GONG2209,AWSoM,1,290.61752564562966,16,0.2,0.8
Ur,GONG2209,AWSoM,2,235.16846461156106,29,0.2,0.8
Ur,GONG2209,AWSoM,3,91.81204423999199,26,0.2,0.8
Ur,GONG2209,AWSoM,4,113.27561898739906,29,0.2,0.8
Ur,GONG2209,AWSoM,5,230.35380038069766,23,0.2,0.8
Ur,GONG2209,AWSoM,6,96.86727673900941,11,0.2,0.8
Ur,ADAPT2209,AWSoM,1,121.52397018922609,13,0.2,0.8
Ur,ADAPT2209,AWSoM,2,114.35643386594867,-7,0.2,0.8
Ur,ADAPT2209,AWSoM,3,91.54863944782541,-9,0.2,0.8
Ur,ADAPT2209,AWSoM,4,133.17148470488678,9,0.2,0.8
Ur,ADAPT2209,AWSoM,5,80.03551265414141,-7,0.2,0.8
Ur,ADAPT2209,AWSoM,6,131.27185481888625,-46,0.2,0.8
Ur,GONG2152,AWSoM,1,60.206551188419525,-6,0.2,0.8
Ur,GONG2152,AWSoM,2,82.12581903609598,-11,0.2,0.8
Ur,GONG2152,AWSoM,3,82.29768845902747,0,0.2,0.8
Ur,GONG2152,AWSoM,4,100.84004577185621,-48,0.2,0.8
Ur,GONG2152,AWSoM,5,100.09652347789121,0,0.2,0.8
Ur,GONG2152,AWSoM,6,64.25497889278489,5,0.2,0.8
Ur,ADAPT2152,AWSoM,1,93.38471380000817,-7,0.2,0.8
Ur,ADAPT2152,AWSoM,2,86.26566685991726,-5,0.2,0.8
Ur,ADAPT2152,AWSoM,3,77.75184344782218,2,0.2,0.8
Ur,ADAPT2152,AWSoM,4,63.831814385995436,-8,0.2,0.8
Ur,ADAPT2152,AWSoM,5,97.15799013020182,-16,0.2,0.8
Ur,ADAPT2152,AWSoM,6,115.32546754803887,4,0.2,0.8
Ur,GONG2154,AWSoM,1,89.03723952978179,6,0.2,0.8
Ur,GONG2154,AWSoM,2,49.871575745047494,-9,0.2,0.8
Ur,GONG2154,AWSoM,3,110.24480282601263,-17,0.2,0.8
Ur,GONG2154,AWSoM,4,49.19427450644285,1,0.2,0.8
Ur,GONG2154,AWSoM,5,99.73342201086128,-29,0.2,0.8
Ur,GONG2154,AWSoM,6,42.761120327978816,-4,0.2,0.8
Ur,ADAPT2154,AWSoM,1,168.51546408430727,2,0.2,0.8
Ur,ADAPT2154,AWSoM,2,163.48263774981245,1,0.2,0.8
Ur,ADAPT2154,AWSoM,3,191.14085256839581,2,0.2,0.8
Ur,ADAPT2154,AWSoM,4,162.709125665615,3,0.2,0.8
Ur,ADAPT2154,AWSoM,5,170.64009578152255,5,0.2,0.8
Ur,ADAPT2154,AWSoM,6,157.72540295932453,-2,0.2,0.8
Ur,GONG2208,AWSoMR,1,80.34742907408304,35,0.2,0.8
Ur,GONG2208,AWSoMR,2,128.31890996090138,20,0.2,0.8
Ur,GONG2208,AWSoMR,3,104.6193368861222,48,0.2,0.8
Ur,GONG2208,AWSoMR,4,125.54441840938597,22,0.2,0.8
Ur,GONG2208,AWSoMR,5,81.9511386582341,-11,0.2,0.8
Ur,GONG2208,AWSoMR,6,84.25176369764124,33,0.2,0.8
Ur,ADAPT2208,AWSoMR,1,137.28038834665094,-24,0.2,0.8
Ur,ADAPT2208,AWSoMR,2,84.9345333886349,8,0.2,0.8
Ur,ADAPT2208,AWSoMR,3,91.14680148819006,-48,0.2,0.8
Ur,ADAPT2208,AWSoMR,4,104.03448677643769,-41,0.2,0.8
Ur,ADAPT2208,AWSoMR,5,115.38320240733626,-48,0.2,0.8
Ur,ADAPT2208,AWSoMR,6,103.97946734640118,-6,0.2,0.8
Ur,GONG2209,AWSoMR,1,121.2608382086078,26,0.2,0.8
Ur,GONG2209,AWSoMR,2,188.18034901364996,21,0.2,0.8
Ur,GONG2209,AWSoMR,3,223.8011000584536,20,0.2,0.8
Ur,GONG2209,AWSoMR,4,143.03575775241862,26,0.2,0.8
Ur,GONG2209,AWSoMR,5,96.08194945854093,14,0.2,0.8
Ur,GONG2209,AWSoMR,6,213.23973052818204,48,0.2,0.8
Ur,ADAPT2209,AWSoMR,1,159.99955595002774,15,0.2,0.8
Ur,ADAPT2209,AWSoMR,2,94.14386281909741,-11,0.2,0.8
Ur,ADAPT2209,AWSoMR,3,94.7588314495094,22,0.2,0.8
Ur,ADAPT2209,AWSoMR,4,119.87523651499757,-34,0.2,0.8
Ur,ADAPT2209,AWSoMR,5,114.54888475023515,-2,0.2,0.8
Ur,ADAPT2209,AWSoMR,6,112.29721828132088,12,0.2,0.8
Ur,GONG2152,AWSoMR,1,106.99563825105683,30,0.2,0.8
Ur,GONG2152,AWSoMR,2,103.80905898597341,27,0.2,0.8
Ur,GONG2152,AWSoMR,3,100.48494724568124,28,0.2,0.8
Ur,GONG2152,AWSoMR,4,101.12066717407299,-27,0.2,0.8
Ur,GONG2152,AWSoMR,5,100.90423600054355,40,0.2,0.8
Ur,GONG2152,AWSoMR,6,73.45488070912,-10,0.2,0.8
Ur,ADAPT2152,AWSoMR,1,224.5189035452485,40,0.2,0.8
Ur,ADAPT2152,AWSoMR,2,126.21834184394638,14,0.2,0.8
Ur,ADAPT2152,AWSoMR,3,1276.5676791594033,-42,0.2,0.8
Ur,ADAPT2152,AWSoMR,6,142.92515147443157,32,0.2,0.8
Ur,GONG2154,AWSoMR,1,40.85593423944978,5,0.2,0.8
Ur,GONG2154,AWSoMR,2,39.67491491095024,-1,0.2,0.8
Ur,GONG2154,AWSoMR,3,105.60602573658726,19,0.2,0.8
Ur,GONG2154,AWSoMR,4,104.46069086119205,16,0.2,0.8
Ur,GONG2154,AWSoMR,5,84.91028030417417,41,0.2,0.8
Ur,GONG2154,AWSoMR,6,111.31783245824913,-39,0.2,0.8
Ur,ADAPT2154,AWSoMR,1,482.7459581143322,-26,0.2,0.8
Ur,ADAPT2154,AWSoMR,2,244.0973333148595,3,0.2,0.8
Ur,ADAPT2154,AWSoMR,3,226.7382967178138,-10,0.2,0.8
Ur,ADAPT2154,AWSoMR,4,243.88852343391622,7,0.2,0.8
Ur,ADAPT2154,AWSoMR,5,243.4917863809814,6,0.2,0.8
Ur,ADAPT2154,AWSoMR,6,155.11636620868964,-13,0.2,0.8
Np,GONG2208,AWSoM,1,18.927163809226343,43,0.2,0.8
Np,GONG2208,AWSoM,2,9.218629842675984,19,0.2,0.8
Np,GONG2208,AWSoM,3,5.1004667029017385,-15,0.2,0.8
Np,GONG2208,AWSoM,4,12.789405391212993,48,0.2,0.8
Np,GONG2208,AWSoM,5,6.8384898348750855,3,0.2,0.8
Np,GONG2208,AWSoM,6,21.197444355401622,-24,0.2,0.8
Np,ADAPT2208,AWSoM,1,53.84967022043683,-48,0.2,0.8
Np,ADAPT2208,AWSoM,2,4.587733750524829,11,0.2,0.8
Np,ADAPT2208,AWSoM,3,7.616845013788364,1,0.2,0.8
Np,ADAPT2208,AWSoM,4,6.284010359865774,-11,0.2,0.8
Np,ADAPT2208,AWSoM,5,6.475368570574561,-28,0.2,0.8
Np,ADAPT2208,AWSoM,6,4.946633504279623,-23,0.2,0.8
Np,GONG2209,AWSoM,1,6.6643527215957725,16,0.2,0.8
Np,GONG2209,AWSoM,2,7.224674536988332,29,0.2,0.8
Np,GONG2209,AWSoM,3,16.65138351190505,26,0.2,0.8
Np,GONG2209,AWSoM,4,49.378804289945904,29,0.2,0.8
Np,GONG2209,AWSoM,5,9.377152466535055,23,0.2,0.8
Np,GONG2209,AWSoM,6,6.4699950341793135,11,0.2,0.8
Np,ADAPT2209,AWSoM,1,19.736681404112026,13,0.2,0.8
Np,ADAPT2209,AWSoM,2,5.190247977268192,-7,0.2,0.8
Np,ADAPT2209,AWSoM,3,5.874369349243583,-9,0.2,0.8
Np,ADAPT2209,AWSoM,4,39.89362651867692,9,0.2,0.8
Np,ADAPT2209,AWSoM,5,5.120884780739022,-7,0.2,0.8
Np,ADAPT2209,AWSoM,6,58.717755849344634,-46,0.2,0.8
Np,GONG2152,AWSoM,1,10.05161508598768,-6,0.2,0.8
Np,GONG2152,AWSoM,2,75.1576775895506,-11,0.2,0.8
Np,GONG2152,AWSoM,3,127.46315236875601,0,0.2,0.8
Np,GONG2152,AWSoM,4,22.88376332080223,-48,0.2,0.8
Np,GONG2152,AWSoM,5,54.79965834101758,0,0.2,0.8
Np,GONG2152,AWSoM,6,55.43394268493909,5,0.2,0.8
Np,ADAPT2152,AWSoM,1,76.77771667245648,-7,0.2,0.8
Np,ADAPT2152,AWSoM,2,180.92897069731004,-5,0.2,0.8
Np,ADAPT2152,AWSoM,3,57.95615262905756,2,0.2,0.8
Np,ADAPT2152,AWSoM,4,35.74976005529876,-8,0.2,0.8
Np,ADAPT2152,AWSoM,5,85.17622569311204,-16,0.2,0.8
Np,ADAPT2152,AWSoM,6,4.945883436933399,4,0.2,0.8
Np,GONG2154,AWSoM,1,103.30369027907328,6,0.2,0.8
Np,GONG2154,AWSoM,2,62.43811776013675,-9,0.2,0.8
Np,GONG2154,AWSoM,3,71.53622154010566,-17,0.2,0.8
Np,GONG2154,AWSoM,4,9.050497832416324,1,0.2,0.8
Np,GONG2154,AWSoM,5,15.598011468520076,-29,0.2,0.8
Np,GONG2154,AWSoM,6,101.08843301507255,-4,0.2,0.8
Np,ADAPT2154,AWSoM,1,103.92953442997477,2,0.2,0.8
Np,ADAPT2154,AWSoM,2,27.195937722917275,1,0.2,0.8
Np,ADAPT2154,AWSoM,3,9.49858082620563,2,0.2,0.8
Np,ADAPT2154,AWSoM,4,25.92418174274117,3,0.2,0.8
Np,ADAPT2154,AWSoM,5,32.31465950665403,5,0.2,0.8
Np,ADAPT2154,AWSoM,6,22.133950421808915,-2,0.2,0.8
Np,GONG2208,AWSoMR,1,9.790107598839185,35,0.2,0.8
Np,GONG2208,AWSoMR,2,5.361430391252228,20,0.2,0.8
Np,GONG2208,AWSoMR,3,28.196692253688646,48,0.2,0.8
Np,GONG2208,AWSoMR,4,9.312427686034667,22,0.2,0.8
Np,GONG2208,AWSoMR,5,11.114194770062584,-11,0.2,0.8
Np,GONG2208,AWSoMR,6,22.253728705563457,33,0.2,0.8
Np,ADAPT2208,AWSoMR,1,56.716805447115846,-24,0.2,0.8
Np,ADAPT2208,AWSoMR,2,8.963822632221019,8,0.2,0.8
Np,ADAPT2208,AWSoMR,3,27.251253663612612,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,4,38.89229709474794,-41,0.2,0.8
Np,ADAPT2208,AWSoMR,5,40.34757995404221,-48,0.2,0.8
Np,ADAPT2208,AWSoMR,6,20.661086439757767,-6,0.2,0.8
Np,GONG2209,AWSoMR,1,35.95806797597087,26,0.2,0.8
Np,GONG2209,AWSoMR,2,6.780444382549629,21,0.2,0.8
Np,GONG2209,AWSoMR,3,6.573866488425557,20,0.2,0.8
Np,GONG2209,AWSoMR,4,10.616899972917393,26,0.2,0.8
Np,GONG2209,AWSoMR,5,16.75990011834285,14,0.2,0.8
Np,GONG2209,AWSoMR,6,7.3682902415962115,48,0.2,0.8
Np,ADAPT2209,AWSoMR,1,5.974074256048665,15,0.2,0.8
Np,ADAPT2209,AWSoMR,2,6.218604917669616,-11,0.2,0.8
