qoi,mapCR,model,t,value
Ur,GONG2208,AWSoM,1,386.0
Ur,GONG2208,AWSoM,2,378.0
Ur,GONG2208,AWSoM,3,377.0
Ur,GONG2208,AWSoM,4,395.0
Ur,GONG2208,AWSoM,5,404.0
Ur,GONG2208,AWSoM,6,416.0
Ur,GONG2208,AWSoM,7,414.0
Ur,GONG2208,AWSoM,8,424.0
Ur,GONG2208,AWSoM,9,449.0
Ur,GONG2208,AWSoM,10,453.0
Ur,GONG2208,AWSoM,11,451.0
Ur,GONG2208,AWSoM,12,455.0
Ur,GONG2208,AWSoM,13,467.0
Ur,GONG2208,AWSoM,14,503.0
Ur,GONG2208,AWSoM,15,505.0
Ur,GONG2208,AWSoM,16,504.0
Ur,GONG2208,AWSoM,17,522.0
Ur,GONG2208,AWSoM,18,537.0
Ur,GONG2208,AWSoM,19,530.0
Ur,GONG2208,AWSoM,20,541.0
Ur,GONG2208,AWSoM,21,521.0
Ur,GONG2208,AWSoM,22,529.0
Ur,GONG2208,AWSoM,23,548.0
Ur,GONG2208,AWSoM,24,556.0
Ur,GONG2208,AWSoM,25,569.0
Ur,GONG2208,AWSoM,26,573.0
Ur,GONG2208,AWSoM,27,564.0
Ur,GONG2208,AWSoM,28,550.0
Ur,GONG2208,AWSoM,29,538.0
Ur,GONG2208,AWSoM,30,538.0
Ur,GONG2208,AWSoM,31,528.0
Ur,GONG2208,AWSoM,32,550.0
Ur,GONG2208,AWSoM,33,550.0
Ur,GONG2208,AWSoM,34,544.0
Ur,GONG2208,AWSoM,35,552.0
Ur,GONG2208,AWSoM,36,619.0
Ur,GONG2208,AWSoM,37,616.0
Ur,GONG2208,AWSoM,38,617.0
Ur,GONG2208,AWSoM,39,606.0
Ur,GONG2208,AWSoM,40,603.0
Ur,GONG2208,AWSoM,41,587.0
Ur,GONG2208,AWSoM,42,582.0
Ur,GONG2208,AWSoM,43,573.0
Ur,GONG2208,AWSoM,44,564.0
Ur,GONG2208,AWSoM,45,562.0
Ur,GONG2208,AWSoM,46,560.0
Ur,GONG2208,AWSoM,47,579.0
Ur,GONG2208,AWSoM,48,566.0
Ur,GONG2208,AWSoM,49,549.0
Ur,GONG2208,AWSoM,50,542.0
Ur,GONG2208,AWSoM,51,535.0
Ur,GONG2208,AWSoM,52,520.0
Ur,GONG2208,AWSoM,53,528.0
Ur,GONG2208,AWSoM,54,537.0
Ur,GONG2208,AWSoM,55,536.0
Ur,GONG2208,AWSoM,56,532.0
Ur,GONG2208,AWSoM,57,512.0
Ur,GONG2208,AWSoM,58,507.0
Ur,GONG2208,AWSoM,59,505.0
Ur,GONG2208,AWSoM,60,501.0
Ur,GONG2208,AWSoM,61,502.0
Ur,GONG2208,AWSoM,62,518.0
Ur,GONG2208,AWSoM,63,536.0
Ur,GONG2208,AWSoM,64,536.0
Ur,GONG2208,AWSoM,65,538.0
Ur,GONG2208,AWSoM,66,535.0
Ur,GONG2208,AWSoM,67,538.0
Ur,GONG2208,AWSoM,68,534.0
Ur,GONG2208,AWSoM,69,538.0
Ur,GONG2208,AWSoM,70,532.0
Ur,GONG2208,AWSoM,71,545.0
Ur,GONG2208,AWSoM,72,540.0
Ur,GONG2208,AWSoM,73,538.0
Ur,GONG2208,AWSoM,74,536.0
Ur,GONG2208,AWSoM,75,522.0
Ur,GONG2208,AWSoM,76,521.0
Ur,GONG2208,AWSoM,77,514.0
Ur,GONG2208,AWSoM,78,504.0
Ur,GONG2208,AWSoM,79,503.0
Ur,GONG2208,AWSoM,80,500.0
Ur,GONG2208,AWSoM,81,505.0
Ur,GONG2208,AWSoM,82,500.0
Ur,GONG2208,AWSoM,83,491.0
Ur,GONG2208,AWSoM,84,485.0
Ur,GONG2208,AWSoM,85,482.0
Ur,GONG2208,AWSoM,86,475.0
Ur,GONG2208,AWSoM,87,472.0
Ur,GONG2208,AWSoM,88,471.0
Ur,GONG2208,AWSoM,89,473.0
Ur,GONG2208,AWSoM,90,458.0
Ur,GONG2208,AWSoM,91,453.0
Ur,GONG2208,AWSoM,92,452.0
Ur,GONG2208,AWSoM,93,455.0
Ur,GONG2208,AWSoM,94,460.0
Ur,GONG2208,AWSoM,95,449.0
Ur,GONG2208,AWSoM,96,447.0
Ur,GONG2208,AWSoM,97,442.0
Ur,GONG2208,AWSoM,98,443.0
Ur,GONG2208,AWSoM,99,437.0
Ur,GONG2208,AWSoM,100,429.0
