mapCR,B,Np,T,Ur
GONG2208,3.947,13.01,113609.928,170.207
ADAPT2208,2.94,17.185,82220.433,93.203
GONG2209,3.533,20.066,113860.387,196.648
ADAPT2209,3.376,23.615,70745.224,141.094
GONG2152,4.18,58.149,41587.623,78.706
ADAPT2152,4.574,72.225,41446.07,81.905
GONG2154,6.44,71.994,77853.407,89.909
ADAPT2154,5.751,48.502,85277.097,155.082
GONG2208,3.895,17.171,96616.246,116.987
ADAPT2208,3.78,29.03,86626.3,99.376
GONG2209,3.953,15.569,81387.773,167.581
ADAPT2209,3.433,9.917,76659.044,114.065
GONG2152,4.007,41.818,45461.172,88.975
ADAPT2152,2423.734,140573.145,540957.7,651.02
GONG2154,6.026,68.145,82286.739,110.889
ADAPT2154,362.867,6331.968,116634.944,261.469
